sample_name,site,depth_cm,avg_pH,avg_EC,avg_SO42_mmolL,avg_Cl_mmolL,avg_DOC_mmolL,avg_Ca_mmolL,avg_Fe_mmolL,avg_K_mmolL,avg_Mg_mmolL,avg_Mn_mmolL,avg_Na_mmolL,
DP,DP,0,5.87,1649.25,3.40,0.193903885,0.809424694,1.97,0.37,0.16,1.63,0.18,0.37,
P5,DP,100,5.95,1665.8095,12.92,0.157967517,2.679025708,6.71,2.26,0.21,5.09,0.60,0.55,
P6,DP,60,6.13,1341.919,12.73,0.258470705,2.82232028,6.55,2.52,0.22,5.06,0.62,0.53,
P7,DP,30,4.83,1397.881579,9.55,0.1787596,2.037160381,5.60,1.15,0.19,4.31,0.53,0.49,
P8,DP,15,6.00,556.122381,13.30,0.24685523,1.062408479,6.79,1.17,0.21,5.24,0.61,0.53,
P9,SB,100,5.077777778,1349.315789,9.16,0.219870561,1.771,5.00,1.28,0.21,3.39,0.55,0.49,
P10,SB,60,4.427647059,1271.099412,6.98,0.248709048,1.232,2.25,5.38,0.43,1.94,0.36,0.43,
P11,SB,30,4.715555556,1352.743333,2.25,0.334508875,NA,2.27,3.91,0.46,1.79,0.40,0.45,
P12,SB,15,6.54,447.625,9.68,0.847450718,2.679,1.29,0.81,0.20,1.07,0.27,0.31,
BDP,BDP,0,4.984210526,1637.3685,7.33,0.300187548,0.961160603,3.59,0.79,0.18,2.93,0.32,0.42,
P1,BDP,100,4.559473684,1641.8125,14.96,0.169145412,1.521333514,6.93,1.34,0.30,5.46,0.66,0.57,
P2,BDP,60,4.598947368,1597.4785,13.34,0.15785488,1.638844217,6.96,1.06,0.24,5.51,0.66,0.56,
P3,BDP,30,3.942777778,1403.864444,12.83,0.15946862,1.360272691,6.85,1.13,0.21,5.41,0.65,0.55,
P4,BDP,15,5.4855,993.0595238,13.24,0.248265739,1.30089085,6.96,0.85,0.21,5.52,0.66,0.55,
