,sample_name,Site,Depth_cm,newdate,doy,date,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,Al_mmolL,Ca_mmolL,Fe_mmolL,K_mmolL,Mg_mmolL,Mn_mmolL,Na_mmolL,Date,pH,EC
1,BDP,BDP,0,3/27/17,86,3/27/17,0.5,176.9,56.71,5.483,85.35,20.15,8.169,0.018530872,4.413672655,1.015489301,0.140233766,3.511623123,0.366777094,0.355328404,3/27/17,5.38,1760
2,BDP,BDP,0,4/1/17,91,4/1/17,0.5,48.44,4.152,3.88,21.53,3.003,6.41,0.018530872,1.208582834,0.074348644,0.099235275,0.885825962,0.054661619,0.278816877,4/1/17,4.66,447
3,BDP,BDP,0,4/5/17,95,4/5/17,0.5,48.64,5.033,3.915,21.56,3.22,10.53,0.018530872,1.213572854,0.090124452,0.100130438,0.887060276,0.058611526,0.458025228,4/5/17,5.22,450
4,BDP,BDP,0,4/13/17,103,4/13/17,0.5,71.95,16.48,4.589,39.88,7.996,7.71,0.018530872,1.795159681,0.295102516,0.117368731,1.640814647,0.145545888,0.335363201,4/13/17,5.08,550
5,BDP,BDP,0,4/19/17,109,4/19/17,1.187,129.1,42.49,6.387,61.52,18.63,10.44,0.043992291,3.221057884,0.760855941,0.163354561,2.531166427,0.339109542,0.454110483,4/19/17,5.07,781.25
6,BDP,BDP,0,4/26/17,116,4/26/17,0.5,144.2,42.99,5.776,70.19,16.43,8.57,0.018530872,3.597804391,0.769809294,0.147727563,2.887883152,0.2990644,0.37277077,4/26/17,4.89,566
7,BDP,BDP,0,4/26/17,116,4/26/17,0.5,144.2,42.99,5.776,70.19,16.43,8.57,0.018530872,3.597804391,0.769809294,0.147727563,2.887883152,0.2990644,0.37277077,4/26/17,4.89,566
8,BDP,BDP,0,5/19/17,139,5/19/17,0.5,48.52,8.336,4.013,23.76,4.42,6.86,0.018530872,1.210578842,0.149270302,0.102636896,0.97757663,0.08045433,0.298390605,5/19/17,5.7,375
9,BDP,BDP,0,5/26/17,146,5/26/17,0.5,44.36,25.97,4.634,46.27,10.78,7.703,0.018530872,1.106786427,0.465037156,0.118519655,1.903723514,0.196221195,0.335058721,5/26/17,6.26,830
10,BDP,BDP,0,6/1/17,152,6/1/17,0.5,144.9,44.78,5.345,66.54,18,8.143,0.018530872,3.615269461,0.801862297,0.136704264,2.73770829,0.327642069,0.354197477,6/1/17,5.67,758
11,BDP,BDP,0,6/9/17,160,6/9/17,0.5,141,41.75,5.283,66.36,16.8,7.888,0.018530872,3.517964072,0.747604978,0.135118545,2.730302407,0.305799265,0.343105698,6/9/17,5.76,922
12,BDP,BDP,0,6/13/17,164,6/13/17,0.5,181,59.56,7.486,89.19,22.91,10.76,0.018530872,4.515968064,1.066523413,0.191462697,3.669615305,0.417015545,0.468029578,6/13/17,6.4,1362
13,BDP,BDP,0,6/20/17,171,6/20/17,0.5,184.9,62.18,7.42,90.8,23.57,10.54,0.018530872,4.613273453,1.113438983,0.189774675,3.73585682,0.429029087,0.4584602,6/20/17,5.62,1252
14,BDP,BDP,0,7/3/17,184,7/3/17,0.5,153.1,47.83,6.995,72.28,19.6,9.073,0.018530872,3.819860279,0.856477751,0.178904831,2.973873689,0.356765809,0.394649848,7/3/17,5.74,506
15,BDP,BDP,0,7/7/17,188,7/7/17,1.359,169,51.81,7.593,82.84,22.99,9.915,0.050366911,4.216566866,0.927746441,0.19419934,3.408352191,0.418471732,0.431274467,7/7/17,5.67,1304
16,BDP,BDP,0,7/13/17,194,7/13/17,0.5,73.21,15.96,5.028,36.93,8.324,6.483,0.018530872,1.826596806,0.285791029,0.128596639,1.519440444,0.151516255,0.281992171,7/13/17,5.73,737
17,BDP,BDP,0,8/25/17,237,8/25/17,1.718,196.1,58.33,5.803,94.95,23.93,7.702,0.063672078,4.892714571,1.044498165,0.148418118,3.90660358,0.435581929,0.335015224,8/25/17,5.42,1142
18,BDP,BDP,0,9/5/17,248,9/5/17,1.278,183.2,46.92,10.84,86.62,20.9,14.17,0.04736491,4.570858283,0.840182648,0.277244942,3.563875746,0.380428847,0.616354937,9/5/17,5.36,1040
19,BDP,BDP,0,9/29/17,272,9/29/17,3.238,234.9,70.54,7.815,116.9,29.39,8.508,0.12000593,5.860778443,1.263139046,0.199877235,4.809709936,0.53496669,0.370073945,9/29/17,5.01,1710
20,BDP,BDP,0,10/6/17,279,10/6/17,0.5,259.1,89.35,7.23,125.9,29.75,8.44,0.018530872,6.464570858,1.599964187,0.184915215,5.180004114,0.541519531,0.367116137,10/6/17,5.42,1642
21,BDP,BDP,0,10/20/17,293,10/20/17,0.5,260.2,99.29,7.598,128.6,34.21,9.665,0.018530872,6.492015968,1.777956845,0.194327221,5.291092368,0.622701955,0.420400174,10/20/17,5.65,1744
22,BDP,BDP,0,11/3/17,307,11/3/17,0.5,127.2,36.14,6.837,66.28,16.58,7.016,0.018530872,3.173652695,0.647148357,0.174863807,2.727010903,0.30179475,0.305176164,11/3/17,5.86,976
