sample,Date and time,discharge (m3/s),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),SO42- (mg/L),pH,EC (uS/cm)
Out 1 14:07 6/9/17,6/9/17 14:07,0.008208,0.5,237.6,1.193,7.618,97.25,12.9,10.55,904.1361,5.02,1528
Out 2 2:07 6/10/17,6/10/17 2:07,0.00683,0.5,242.1,0.5,7.729,100.2,14.36,10.61,903.7807,4.76,1531
Out 3 14:07 6/10/17,6/10/17 14:07,0.007293,0.5,246.7,1.729,7.782,102.6,14.47,10.78,906.2249,5.06,1552
Out 4 2:07 6/11/17,6/11/17 2:07,0.007101,0.5,247.7,2.072,7.703,102.1,14.67,10.7,920.5907,4.37,1574
Out 5 14:07 6/11/17,6/11/17 14:07,0.007447,1.038,250.3,1.512,7.81,95.75,14.95,10.75,951.4674,4.42,1591
Out 6 2:07 6/12/17,6/12/17 2:07,0.006612,0.5,250.1,1.793,7.808,102.7,15.12,10.87,927.6302,4.11,1595
Out 7 14:07 6/12/17,6/12/17 14:07,0.007326,1.705,332.4,1.517,8.327,139.1,15.55,12.34,956.5919,4.21,1628
Out 8 2:07 6/13/17,6/13/17 2:07,0.006874,1.155,254,0.5,7.984,103.4,15.17,10.8,957.2208,4.07,1640
Out 1 6/27/17 12:08 pm,6/27/17 12:08,0.002453,0.5,276.9,1.363,8.795,110.9,19.07,11.39,949.603,3.92,1580
Out 2 6/28/17 12:08 pm,6/28/17 12:08,0.001796,1.921,260.1,0.5,8.167,107.2,18.44,10.62,1004.1205,3.64,1667
Out 3 6/29/17 12:08 pm,6/29/17 12:08,0.015352,2.348,264,1.389,8.254,109.7,18.55,10.73,993.2257,3.79,1686
Out 4 6/30/17 12:08 pm,6/30/17 12:08,0.023236,1.409,268.6,0.5,8.142,108.2,18.29,10.45,913.1895,3.97,1551
Out 5 7/1/17 12:08 pm,7/1/17 12:08,0.006668,2.004,232,0.5,7.718,93.35,17.34,9.533,768.4098,3.96,1358
Out 6 7/2/17 12:08 pm,7/2/17 12:08,0.004128,1.803,201.1,0.5,7.219,80.89,15.22,8.8,792.7352,3.38,1485
Out 7 7/3/17 12:08 pm,7/3/17 12:08,0.002821,2.179,212.4,1.631,7.429,88.4,18.41,9.627,864.9914,3.33,1584
OUT 1 7-7-17 11:59 ,7/7/17 11:59,0.006407,2.36,235.3,2.871,9.375,97.32,19.19,11.3,921.2365,3.34,1572
OUT 2 7-7-17 12:59 ,7/7/17 12:59,0.006505,1.826,239,2.83,9.773,97.16,18.32,11.04,968.6562,3.41,1624
OUT 3 7-7-17 13:59,7/7/17 13:59,0.013779,1.566,213.9,1.775,9.136,86.17,16.17,10.09,794.0799,3.61,1110
OUT 4 7-7-17 14:59,7/7/17 14:59,0.009362,1.095,145.4,1.345,7.926,58.28,11.42,7.455,590.297,3.72,1156
OUT 5 7-7-17 15:59,7/7/17 15:59,0.011135,0.5,171.5,2.498,8.666,67.75,11.53,8.287,679.0067,4.05,1228
OUT 6 7-7-17 16:59 ,7/7/17 16:59,0.008376,0.5,191.3,2.297,8.824,74.93,10.94,8.738,710.7048,4.77,1272
OUT 7 7-7-17 17:59,7/7/17 17:59,0.006736,0.5,214.9,2.856,9.426,82.45,11.06,9.337,775.6377,5.34,1366
OUT 8 7-7-17 18:59,7/7/17 18:59,0.006312,0.5,229.7,2.568,9.252,88.6,11.5,9.728,796.6398,5.18,1408
