"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL","H_mgL","H_umolL","logQ","logAl","logCa","logFe","logK","logMg","logMn","logNa","logSO42","logH","logEC","H_molL"
"1","Out 1 14:07 6/9/17","6/9/17 14:07",0.008208,0.5,237.6,1.193,7.618,97.25,12.9,10.55,904.1361,5.02,1528,0.0185308724334742,5.92814371257485,0.0213627003312741,0.194838742678841,4.00123431392718,0.234810149623212,0.458895171813832,9.41220174890693,9.54992586021437e-06,9.54992586021437,-2.08576265223226,-1.73210413361557,0.772918723449967,-1.67034385160373,-0.710324681653148,0.602193984587184,-0.629283134723882,-0.338286511635567,0.973691227630414,0.98,3.18412335423967,9.54992586021437e-06
"2","Out 2 2:07 6/10/17","6/10/17 2:07",0.00683,0.5,242.1,0.5,7.729,100.2,14.36,10.61,903.7807,4.76,1531,0.0185308724334742,6.04041916167665,0.00895335303071,0.197677689966495,4.1226085167661,0.261385561906149,0.461505002174859,9.40850197793046,1.73780082874938e-05,17.3780082874938,-2.16557929631847,-1.73210413361557,0.781067076582544,-2.04801429093805,-0.704042342680167,0.615172096120666,-0.58271840511685,-0.335823587367938,0.973520480546415,1.24,3.18497519069826,1.73780082874938e-05
"3","Out 3 14:07 6/10/17","6/10/17 14:07",0.007293,0.5,246.7,1.729,7.782,102.6,14.47,10.78,906.2249,5.06,1552,0.0185308724334742,6.15518962075848,0.0309606947801952,0.199033223356096,4.22135363094014,0.263387818995959,0.4688995215311,9.43394649177597,8.70963589956081e-06,8.70963589956081,-2.137093786437,-1.73210413361557,0.789241436630547,-1.50918930200015,-0.701074423510352,0.625451735365236,-0.579404313904094,-0.328920210418559,0.974693408649949,0.94,3.19089171692217,8.70963589956081e-06
"4","Out 4 2:07 6/11/17","6/11/17 2:07",0.007101,0.5,247.7,2.072,7.703,102.1,14.67,10.7,920.5907,4.37,1574,0.0185308724334742,6.18013972055888,0.0371026949592622,0.19701271132254,4.20078173215388,0.267028286431978,0.465419747716398,9.5834967728503,4.26579518801593e-05,42.6579518801593,-2.14868048735126,-1.73210413361557,0.790998293726648,-1.43059454420088,-0.705505752116873,0.623330116676349,-0.573442731179849,-0.332155193584069,0.981524000943386,1.63,3.19700472802305,4.26579518801593e-05
"5","Out 5 14:07 6/11/17","6/11/17 14:07",0.007447,1.038,250.3,1.512,7.81,95.75,14.95,10.75,951.4674,4.42,1591,0.0384700911718924,6.24500998003992,0.027074939564867,0.199749354203432,3.9395186175684,0.272124940842404,0.467594606350587,9.90492816989382,3.80189396320561e-05,38.0189396320561,-2.12801864615663,-1.41487678443915,0.795533136749034,-1.56743250410889,-0.699514616100775,0.595443157230099,-0.565231652362683,-0.330130507017655,0.995851330401384,1.58,3.20167017964658,3.80189396320561e-05
"6","Out 6 2:07 6/12/17","6/12/17 2:07",0.006612,0.5,250.1,1.793,7.808,102.7,15.12,10.87,927.6302,4.11,1595,0.0185308724334742,6.24001996007984,0.0321067239681261,0.199698202000051,4.22546801069739,0.27521933816302,0.47281426707264,9.65677909639808,7.76247116628691e-05,77.6247116628691,-2.17966715510059,-1.73210413361557,0.795185978871313,-1.49340400571189,-0.69962584531944,0.625874818186717,-0.560321053857944,-0.325309427182985,0.984832296817656,1.89,3.2027606873932,7.76247116628691e-05
"7","Out 7 14:07 6/12/17","6/12/17 14:07",0.007326,1.705,332.4,1.517,8.327,139.1,15.55,12.34,956.5919,4.21,1628,0.0631902749981469,8.2934131736527,0.0271644730951741,0.212972198777462,5.72310224233697,0.283046343150461,0.53675511091779,9.95827503643556,6.16595001861482e-05,61.6595001861482,-2.13513308567147,-1.19934975462307,0.918733302252884,-1.56599871448734,-0.671677085319778,0.757631504581485,-0.548142451660275,-0.270223811572056,0.998184116833674,1.79,3.21165440055318,6.16595001861482e-05
"8","Out 8 2:07 6/13/17","6/13/17 2:07",0.006874,1.155,254,0.5,7.984,103.4,15.17,10.8,957.2208,4.07,1640,0.0428063153213253,6.3373253493014,0.00895335303071,0.204199595897593,4.25426866899815,0.276129455022025,0.469769464984776,9.96482198625859,8.51138038202376e-05,85.1138038202376,-2.16279047219879,-1.36849215372342,0.801906003760749,-2.04801429093805,-0.689945121698761,0.628824913347363,-0.558887264236401,-0.328115215782329,0.998469544774977,1.93,3.2148438480477,8.51138038202376e-05
"9","Out 1 6/27/17 12:08 pm","6/27/17 12:08",0.002453,0.5,276.9,1.363,8.795,110.9,19.07,11.39,949.603,3.92,1580,0.0185308724334742,6.90868263473054,0.0244068403617155,0.224941814368654,4.56284715079202,0.347118570024391,0.495432796868204,9.88551946699979,0.000120226443461741,120.226443461741,-2.61030245179361,-1.73210413361557,0.839395242886385,-1.6124884394394,-0.647929806184596,0.659235920738599,-0.459522151977126,-0.305015247190179,0.994999495675381,2.08,3.19865708695442,0.000120226443461741
"10","Out 2 6/28/17 12:08 pm","6/28/17 12:08",0.001796,1.921,260.1,0.5,8.167,107.2,18.44,10.62,1004.1205,3.64,1667,0.0711956118894078,6.48952095808383,0.00895335303071,0.208880022506969,4.41061509977371,0.335651097600932,0.461939973901696,10.4530553820529,0.000229086765276777,229.086765276777,-2.74569366766871,-1.14754677308989,0.812212639336684,-2.04801429093805,-0.680103094389573,0.64449915994619,-0.474111928305521,-0.335414454523829,1.01924325136746,2.36,3.22193559982801,0.000229086765276777
"11","Out 3 6/29/17 12:08 pm","6/29/17 12:08",0.015352,2.348,264,1.389,8.254,109.7,18.55,10.73,993.2257,3.79,1686,0.0870209769475947,6.58682634730539,0.0248724147193124,0.21110514335405,4.513474593705,0.337653354690742,0.466724662896912,10.339638767437,0.000162181009735893,162.181009735893,-1.81383503827258,-1.06037604537601,0.818676214010642,-1.60428204953646,-0.675501185436678,0.65451100216415,-0.471528931072067,-0.330939249303328,1.01450536621932,2.21,3.22685757028872,0.000162181009735893
"12","Out 4 6/30/17 12:08 pm","6/30/17 12:08",0.023236,1.409,268.6,0.5,8.142,108.2,18.29,10.45,913.1895,3.97,1551,0.0522199985175302,6.70159680638723,0.00895335303071,0.208240619964705,4.45175889734623,0.332920747023918,0.454545454545455,9.50644909431605,0.000107151930523761,107.151930523761,-1.63383863219581,-1.28216314484223,0.826178295473507,-2.04801429093805,-0.681434551934695,0.64853163535999,-0.477659139546715,-0.342422680822206,0.978018326956038,2.03,3.19061179781361,0.000107151930523761
"13","Out 5 7/1/17 12:08 pm","7/1/17 12:08",0.006668,2.004,232,0.5,7.718,93.35,17.34,9.533,768.4098,3.96,1358,0.0742717367133645,5.78842315369261,0.00895335303071,0.197396352847899,3.84077350339436,0.315628526702829,0.414658547194432,7.99926920674578,0.000109647819614319,109.647819614319,-2.17600440884403,-1.12917642075638,0.76256027203171,-2.04801429093805,-0.704660875742698,0.584418696874536,-0.50082375188294,-0.382309378247124,0.903050312745097,2.04,3.13289976994448,0.000109647819614319
"14","Out 6 7/2/17 12:08 pm","7/2/17 12:08",0.004128,1.803,201.1,0.5,7.219,80.89,15.22,8.8,792.7352,3.38,1485,0.0668223259951078,5.01746506986028,0.00895335303071,0.184633878104299,3.32812178564081,0.27703957188103,0.382775119617225,8.25250052050801,0.000416869383470336,416.869383470335,-2.38426031138084,-1.17507841122918,0.700484357737553,-2.04801429093805,-0.733688608164735,0.522199210005722,-0.557458192588577,-0.41705629911911,0.916585560394503,2.62,3.17172645365323,0.000416869383470336
"15","Out 7 7/3/17 12:08 pm","7/3/17 12:08",0.002821,2.179,212.4,1.631,7.429,88.4,18.41,9.627,864.9914,3.33,1584,0.0807575420650804,5.29940119760479,0.029205837586176,0.190004859459321,3.63711170541041,0.335105027485529,0.418747281426707,9.00469914636685,0.000467735141287198,467.735141287198,-2.54959691384463,-1.09281690770533,0.724226799550242,-1.5345303342338,-0.72123529162938,0.560756639602512,-0.474819056519117,-0.378047999454112,0.954469207299315,2.67,3.19975517725347,0.000467735141287198
"16","OUT 1 7-7-17 11:59 ","7/7/17 11:59",0.006407,2.36,235.3,2.871,9.375,97.32,19.19,11.3,921.2365,3.34,1572,0.0874657178859981,5.87075848303393,0.0514101531023368,0.239775953349191,4.00411437975725,0.349302850486002,0.491518051326664,9.59021965438268,0.000457088189614875,457.088189614875,-2.19334527600814,-1.05816213498148,0.768694214316832,-1.28895110277757,-0.620194373578319,0.60250647484822,-0.45679787028766,-0.308460527785859,0.981828554365018,2.66,3.19645254170339,0.000457088189614875
"17","OUT 2 7-7-17 12:59 ","7/7/17 12:59",0.006505,1.826,239,2.83,9.773,97.16,18.32,11.04,968.6562,3.41,1624,0.0676747461270477,5.96307385229541,0.0506759781538186,0.249955241822041,3.99753137214565,0.333466817139321,0.480208786428882,10.0838663335415,0.00038904514499428,389.045144994281,-2.18675269910239,-1.16957336475331,0.775470188088948,-1.29519785974978,-0.602137751207781,0.601791880722532,-0.4769473756913,-0.318569897876099,1.00362708026204,2.59,3.21058602490516,0.00038904514499428
"18","OUT 3 7-7-17 13:59","7/7/17 13:59",0.013779,1.566,213.9,1.775,9.136,86.17,16.17,10.09,794.0799,3.61,1110,0.0580386924616411,5.33682634730539,0.0317844032590205,0.233663265045142,3.5453610368237,0.294331792202119,0.438886472379295,8.26649906308557,0.000245470891568503,245.470891568503,-1.86078229986241,-1.23628238022966,0.727283071712339,-1.49778593788296,-0.631409559076303,0.549660467535012,-0.53116282511673,-0.357647805032369,0.917321620858774,2.39,3.04532297878666,0.000245470891568503
"19","OUT 4 7-7-17 14:59","7/7/17 14:59",0.009362,1.095,145.4,1.345,7.926,58.28,11.42,7.455,590.297,3.72,1156,0.0405826106293084,3.62774451097804,0.0240845196526099,0.20271618199954,2.39786052252623,0.207870690596673,0.324271422357547,6.14508640433063,0.000190546071796325,190.546071796325,-2.02863136320858,-1.39166001877545,0.55963669366383,-1.61826201093565,-0.693111581979905,0.379823917687392,-0.682206741113302,-0.489091323480266,0.788527993757898,2.28,3.06295783408451,0.000190546071796325
"20","OUT 5 7-7-17 15:59","7/7/17 15:59",0.011135,0.5,171.5,2.498,8.666,67.75,11.53,8.287,679.0067,4.05,1228,0.0185308724334742,4.27894211576846,0.0447309517414272,0.221642497250569,2.78749228553796,0.209872947686483,0.360461070030448,7.06856860295649,8.91250938133746e-05,89.1250938133746,-1.95330977862994,-1.73210413361557,0.6313364115196,-1.34939186123596,-0.65434696527972,0.445213674135882,-0.678043537728432,-0.443141632425579,0.849331477336428,1.95,3.08919836680515,8.91250938133746e-05
