Sample ID,Site,Collection Date,Depth (cm),SO42-,Cl- (mg/L)
P10,stream bank,4/5/17,60,279.9191,8.8159
P10,stream bank,4/13/17,60,876.6486,10.6717
P10,stream bank,4/19/17,60,903.1951,9.441
P10,stream bank,4/26/17,60,794.8783,9.3264
P10,stream bank,5/19/17,60,741.7174,7.7274
P10,stream bank,5/26/17,60,964.9679,12.5156
P10,stream bank,6/1/17,60,885.686,8.2706
P10,stream bank,6/13/17,60,776.6589,NA
P10,stream bank,6/9/17,60,855.5705,NA
P10,stream bank,6/20/17,60,882.9591,NA
P10,stream bank,7/3/17,60,752.6286,NA
P10,stream bank,7/7/17,60,768.759,NA
P10,stream bank,7/13/17,60,1200.7833,NA
P10,stream bank,8/25/17,60,774.9239,7.852
P10,stream bank,9/5/17,60,921.373,5.5893
P10,stream bank,9/29/17,60,1031.0562,8.6772
P10,stream bank,10/6/17,60,1041.1044,NA
P10,stream bank,10/20/17,60,1085.902,8.1052
P10,stream bank,11/3/17,60,1180.918,NA
P11,stream bank,4/19/17,30,1011.7697,21.061
P11,stream bank,5/26/17,30,953.5473,NA
P11,stream bank,6/13/17,30,815.599,NA
P11,stream bank,6/20/17,30,950.0663,NA
P11,stream bank,7/7/17,30,783.7555,NA
P11,stream bank,8/25/17,30,436.5315,5.6553
P11,stream bank,9/29/17,30,294.8611,8.8617
P11,stream bank,10/6/17,30,319.6217,NA
P11,stream bank,11/3/17,30,469.5761,NA
P12,stream bank,5/26/17,15,215.2442,30.0447
P12,stream bank,6/20/17,15,216.6353,NA
P12,stream bank,7/7/17,15,NA,NA
P9,stream bank,4/5/17,100,798.4693,6.8185
P9,stream bank,4/13/17,100,848.934,8.6837
P9,stream bank,4/19/17,100,852.5957,8.6463
P9,stream bank,4/26/17,100,864.5829,9.4357
P9,stream bank,5/19/17,100,762.1489,6.2922
P9,stream bank,5/26/17,100,750.0116,9.6988
P9,stream bank,6/1/17,100,860.6279,10.7133
P9,stream bank,6/13/17,100,671.202,NA
P9,stream bank,6/9/17,100,939.3918,NA
P9,stream bank,6/20/17,100,1472.6293,NA
P9,stream bank,7/3/17,100,946.2202,NA
P9,stream bank,7/7/17,100,892.2204,NA
P9,stream bank,7/13/17,100,908.9351,NA
P9,stream bank,8/25/17,100,950.8298,5.7518
P9,stream bank,9/5/17,100,965.7785,7.3624
P9,stream bank,9/29/17,100,1083.1,6.5134
P9,stream bank,10/6/17,100,986.2056,NA
P9,stream bank,10/20/17,100,1040.3364,5.8297
P9,stream bank,11/3/17,100,1067.359,NA
DP,dam pool,4/1/17,0,420.3112,5.5185
DP,dam pool,4/5/17,0,NA,11.2416
DP,dam pool,4/13/17,0,164.3991,14.6857
DP,dam pool,4/19/17,0,317.7141,11.1056
DP,dam pool,4/26/17,0,548.3436,7.9764
DP,dam pool,5/19/17,0,35.332,10.7939
