,sample_name,date_and_time,Q_m3s,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,SO42_mgL,pH,EC,newdate,year,doy,min,hour,time,Al_mmolL,Ca_mmolL,Fe_mmolL,K_mmolL,Mg_mmolL,Mn_mmolL,Na_mmolL,SO42_mmolL
13,OUT 1,7/13/17 11:53,0.009091,1.658,196.5,1.947,8.451,78.97,13.33,9.569,676.5503,3.86,1143,7/13/17 11:53,2017,194,53,11,11.88333333,0.061448373,4.902694611,0.034864357,0.216143635,3.249125694,0.242637155,0.416224445,7.042997085
14,OUT 2,7/13/17 12:53,0.008076,1.012,158.1,3.161,8.366,62.16,11.11,8.71,627.4337,3.95,1104,7/13/17 12:53,2017,194,53,12,12.88333333,0.037506486,3.944610778,0.056603098,0.213969667,2.557498457,0.202227966,0.378860374,6.531685405
15,OUT 3,7/13/17 13:53,0.007852,0.5,156.3,3.382,8.33,61.97,10.9,8.79,643.5015,4.01,1114,7/13/17 13:53,2017,194,53,13,13.88333333,0.018530872,3.899700599,0.06056048,0.213048927,2.549681136,0.198405475,0.382340148,6.698953779
16,OUT 4,7/13/17 14:53,0.007752,0.5,160.4,3.463,8.342,62.9,11.09,9.079,655.4828,3.69,1151,7/13/17 14:53,2017,194,53,14,14.88333333,0.018530872,4.001996008,0.062010923,0.21335584,2.587944867,0.201863919,0.394910831,6.823681033
17,OUT 5,7/13/17 15:53,0.007277,1.04,162.5,3.624,8.554,64.04,11.55,9.289,655.8687,3.78,1156,7/13/17 15:53,2017,194,53,15,15.88333333,0.038544215,4.054391218,0.064893903,0.218777974,2.634848797,0.210236994,0.404045237,6.827698314
18,OUT 6,7/13/17 16:53,0.00642,1.148,161.5,3.029,8.249,63.05,11.65,8.98,645.8374,3.67,1157,7/13/17 16:53,2017,194,53,16,16.88333333,0.042546883,4.029441118,0.054239413,0.210977263,2.594116437,0.212057228,0.390604611,6.723270872
19,OUT 7,7/13/17 17:53,0.005515,1.167,159.7,3.525,8.022,63.25,11.85,8.877,684.9042,3.63,1166,7/13/17 17:53,2017,194,53,17,17.88333333,0.043251056,3.984530938,0.063121139,0.205171488,2.602345196,0.215697696,0.386124402,7.129962523
20,OUT 8,7/13/17 18:53,0.0058,1.306,164.9,3.823,8.128,65.29,12.43,9.045,652.132,3.59,1175,7/13/17 18:53,2017,194,53,18,18.88333333,0.048402639,4.114271457,0.068457337,0.207882555,2.686278544,0.226255051,0.393431927,6.788798667
21,OUT 9,7/13/17 19:53,0.006092,1.273,164.8,4.18,7.97,64.6,12.53,9,704.5309,3.52,1185,7/13/17 19:53,2017,194,53,19,19.88333333,0.047179601,4.111776447,0.074850031,0.20384153,2.657889323,0.228075285,0.391474554,7.334279617
22,OUT 10,7/13/17 20:53,0.005463,1.324,160.8,4.179,8.068,64.6,12.86,9.098,687.3864,3.46,1193,7/13/17 20:53,2017,194,53,20,20.88333333,0.04906975,4.011976048,0.074832125,0.206347988,2.657889323,0.234082056,0.395737277,7.155802623
23,OUT 11,7/13/17 21:53,0.004878,1.351,159.1,4.756,7.943,62.94,13.13,9.088,625.4232,3.36,1199,7/13/17 21:53,2017,194,53,21,21.88333333,0.050070417,3.969560878,0.085164294,0.203150976,2.589590619,0.238996687,0.395302305,6.510755778
24,OUT 12,7/13/17 22:53,0.004812,1.41,157.9,5.012,8.035,63.72,13.49,9.131,669.9998,3.36,1211,7/13/17 22:53,2017,194,53,22,22.88333333,0.05225706,3.939620758,0.089748411,0.205503977,2.621682781,0.245549529,0.397172684,6.97480533
