"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","newdate","year","doy","min","hour","time","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL"
"1","OUT 1","7/7/17 11:59",0.006407,2.36,235.3,2.871,9.375,97.32,19.19,11.3,921.2365,3.34,1572,2017-07-07 11:59:00,2017,188,59,11,11.9833333333333,0.0874657178859981,5.87075848303393,0.0514101531023368,0.239775953349191,4.00411437975725,0.349302850486002,0.491518051326664,9.59021965438268
"2","OUT 2","7/7/17 12:59",0.006505,1.826,239,2.83,9.773,97.16,18.32,11.04,968.6562,3.41,1624,2017-07-07 12:59:00,2017,188,59,12,12.9833333333333,0.0676747461270477,5.96307385229541,0.0506759781538186,0.249955241822041,3.99753137214565,0.333466817139321,0.480208786428882,10.0838663335415
"3","OUT 3","7/7/17 13:59",0.013779,1.566,213.9,1.775,9.136,86.17,16.17,10.09,794.0799,3.61,1110,2017-07-07 13:59:00,2017,188,59,13,13.9833333333333,0.0580386924616411,5.33682634730539,0.0317844032590205,0.233663265045142,3.5453610368237,0.294331792202119,0.438886472379295,8.26649906308557
"4","OUT 4","7/7/17 14:59",0.009362,1.095,145.4,1.345,7.926,58.28,11.42,7.455,590.297,3.72,1156,2017-07-07 14:59:00,2017,188,59,14,14.9833333333333,0.0405826106293084,3.62774451097804,0.0240845196526099,0.20271618199954,2.39786052252623,0.207870690596673,0.324271422357547,6.14508640433063
"5","OUT 5","7/7/17 15:59",0.011135,0.5,171.5,2.498,8.666,67.75,11.53,8.287,679.0067,4.05,1228,2017-07-07 15:59:00,2017,188,59,15,15.9833333333333,0.0185308724334742,4.27894211576846,0.0447309517414272,0.221642497250569,2.78749228553796,0.209872947686483,0.360461070030448,7.06856860295649
"6","OUT 6","7/7/17 16:59",0.008376,0.5,191.3,2.297,8.824,74.93,10.94,8.738,710.7048,4.77,1272,2017-07-07 16:59:00,2017,188,59,16,16.9833333333333,0.0185308724334742,4.77295409181637,0.0411317038230817,0.225683521317681,3.08290475210862,0.199133568750228,0.380078294910831,7.39855090568395
"7","OUT 7","7/7/17 17:59",0.006736,0.5,214.9,2.856,9.426,82.45,11.06,9.337,775.6377,5.34,1366,2017-07-07 17:59:00,2017,188,59,17,17.9833333333333,0.0185308724334742,5.36177644710579,0.0511415525114155,0.24108033453541,3.39230610985394,0.201317849211839,0.406133101348412,8.07451280449719
"8","OUT 8","7/7/17 18:59",0.006312,0.5,229.7,2.568,9.252,88.6,11.5,9.728,796.6398,5.18,1408,2017-07-07 18:59:00,2017,188,59,18,18.9833333333333,0.0185308724334742,5.7310379241517,0.0459844211657266,0.236630092841249,3.64534046492491,0.20932687757108,0.423140495867769,8.2931480324797
"9","OUT 9","7/7/17 19:59",0.005056,0.5,232.2,1.168,9.383,90.36,12.22,9.826,814.983,4.78,1430,2017-07-07 19:59:00,2017,188,59,19,19.9833333333333,0.0185308724334742,5.79341317365269,0.0209150326797386,0.239980562162715,3.71775354865254,0.222432560340748,0.427403218790779,8.48410368519675
"10","OUT 10","7/7/17 20:59",0.005277,0.5,233.2,3.709,9.434,90.93,13.05,9.967,822.7819,4.36,1441,2017-07-07 20:59:00,2017,188,59,20,20.9833333333333,0.0185308724334742,5.81836327345309,0.0664159727818068,0.241284943348935,3.74120551326887,0.237540500200226,0.433536320139191,8.56529148448886
"11","OUT 11","7/7/17 21:59",0.003902,0.5,228.1,3.635,9.388,90.87,13.73,10,806.9613,4.13,1448,2017-07-07 21:59:00,2017,188,59,21,21.9833333333333,0.0185308724334742,5.69111776447106,0.0650908765332617,0.240108442671168,3.73873688541452,0.24991808948269,0.434971726837756,8.40059650218613
"12","OUT 12","7/7/17 22:59",0.003603,1.638,224.2,8.234,9.499,91.33,14.27,10.34,826.1962,3.98,1458,2017-07-07 22:59:00,2017,188,59,22,22.9833333333333,0.0607071380920614,5.5938123752495,0.147443817709732,0.242947389958823,3.75766303229788,0.25974735155994,0.449760765550239,8.60083489485738
