Sample ID,Site,Collection Date,Depth (cm),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L)
BDP,below dam pool,10/20/17,0,0.5,260.2,99.29,7.598,128.6,34.21,9.665
BDP,below dam pool,11/3/17,0,0.5,127.2,36.14,6.837,66.28,16.58,7.016
BDP,below dam pool,4/1/17,0,0.5,48.44,4.152,3.88,21.53,3.003,6.41
BDP,below dam pool,7/3/17,0,0.5,153.1,47.83,6.995,72.28,19.6,9.073
BDP,below dam pool,6/13/17,0,0.5,181,59.56,7.486,89.19,22.91,10.76
BDP,below dam pool,6/20/17,0,0.5,184.9,62.18,7.42,90.8,23.57,10.54
BDP,below dam pool,7/13/17,0,0.5,73.21,15.96,5.028,36.93,8.324,6.483
BDP,below dam pool,7/7/17,0,1.359,169,51.81,7.593,82.84,22.99,9.915
BDP,below dam pool,8/25/17,0,1.718,196.1,58.33,5.803,94.95,23.93,7.702
BDP,below dam pool,9/5/17,0,1.278,183.2,46.92,10.84,86.62,20.9,14.17
BDP,below dam pool,10/6/17,0,0.5,259.1,89.35,7.23,125.9,29.75,8.44
BDP,below dam pool,9/29/17,0,3.238,234.9,70.54,7.815,116.9,29.39,8.508
BDP,below dam pool,4/5/17,0,0.5,48.64,5.033,3.915,21.56,3.22,10.53
BDP,below dam pool,4/13/17,0,0.5,71.95,16.48,4.589,39.88,7.996,7.71
BDP,below dam pool,4/19/17,0,1.187,129.1,42.49,6.387,61.52,18.63,10.44
BDP,below dam pool,3/27/17,0,0.5,176.9,56.71,5.483,85.35,20.15,8.169
BDP,below dam pool,4/26/17,0,0.5,144.2,42.99,5.776,70.19,16.43,8.57
BDP,below dam pool,4/26/17,0,0.5,144.2,42.99,5.776,70.19,16.43,8.57
BDP,below dam pool,5/19/17,0,0.5,48.52,8.336,4.013,23.76,4.42,6.86
BDP,below dam pool,5/26/17,0,0.5,44.36,25.97,4.634,46.27,10.78,7.703
BDP,below dam pool,6/1/17,0,0.5,144.9,44.78,5.345,66.54,18,8.143
BDP,below dam pool,6/9/17,0,0.5,141,41.75,5.283,66.36,16.8,7.888
DP,dam pool,10/20/17,0,0.5,96.61,19.45,6.223,49.83,15.44,7.008
DP,dam pool,11/3/17,0,0.5,63.65,2.968,6.537,33.99,7.415,5.544
DP,dam pool,4/5/17,0,0.5,36.61,0.5,3.669,15.95,1.964,10.56
DP,dam pool,7/3/17,0,0.5,59.16,14.02,5.212,31.41,8.195,7.113
DP,dam pool,6/13/17,0,0.5,58.28,23.11,6.179,30.58,9.154,9.059
DP,dam pool,6/20/17,0,0.5,50.78,9.276,5.329,26.15,7.036,7.747
DP,dam pool,4/1/17,0,0.5,61.73,15.02,3.826,30,7.329,6.28
DP,dam pool,4/13/17,0,0.5,44.46,0.5,3.852,19.96,2.562,7.474
DP,dam pool,4/19/17,0,0.5,48.21,2.528,4.046,28.44,6.012,8.002
DP,dam pool,3/27/17,0,0.5,81.56,13.05,4.721,37.98,8.808,6.783
DP,dam pool,4/26/17,0,0.5,215.2,79.23,8.338,110.2,24.03,10.04
DP,dam pool,5/19/17,0,0.5,27.92,0.5,3.769,12.13,1.124,7.475
DP,dam pool,5/26/17,0,0.5,36.42,0.5,3.661,16.53,2.209,7.006
DP,dam pool,6/1/17,0,0.5,52.62,17.64,4.117,27.11,7.372,6.915
DP,dam pool,6/9/17,0,0.5,48.26,10.68,3.836,23.24,6.886,7.045
DP,dam pool,7/13/17,0,0.5,36.81,2.183,4.148,17.69,3.66,5.611
DP,dam pool,7/7/17,0,0.5,49.02,6.776,5.974,25.25,8.081,7.486
DP,dam pool,8/25/17,0,0.5,125.7,46.81,6.452,60.77,15.73,6.791
DP,dam pool,9/5/17,0,0.5,75.14,6.091,8.419,37.02,7.534,10.99
DP,dam pool,10/6/17,0,0.5,195.6,84.74,7.978,98.48,25.9,8.224
DP,dam pool,9/29/17,0,0.5,191.8,77.83,7.469,100.5,26.28,8.256
OUT,outlet,6/9/17,0,0.5,237.6,1.193,7.618,97.25,12.9,10.55
OUT,outlet,6/10/17,0,0.5,242.1,0.5,7.729,100.2,14.36,10.61
OUT,outlet,6/10/17,0,0.5,246.7,1.729,7.782,102.6,14.47,10.78
OUT,outlet,6/11/17,0,0.5,247.7,2.072,7.703,102.1,14.67,10.7
OUT,outlet,6/11/17,0,1.038,250.3,1.512,7.81,95.75,14.95,10.75
OUT,outlet,6/12/17,0,0.5,250.1,1.793,7.808,102.7,15.12,10.87
OUT,outlet,6/12/17,0,1.705,332.4,1.517,8.327,139.1,15.55,12.34
OUT,outlet,6/13/17,0,1.155,254,0.5,7.984,103.4,15.17,10.8
OUT,outlet,6/27/17,0,0.5,276.9,1.363,8.795,110.9,19.07,11.39
OUT,outlet,6/28/17,0,1.921,260.1,0.5,8.167,107.2,18.44,10.62
OUT,outlet,6/29/17,0,2.348,264,1.389,8.254,109.7,18.55,10.73
OUT,outlet,6/30/17,0,1.409,268.6,0.5,8.142,108.2,18.29,10.45
OUT,outlet,7/1/17,0,2.004,232,0.5,7.718,93.35,17.34,9.533
OUT,outlet,7/2/17,0,1.803,201.1,0.5,7.219,80.89,15.22,8.8
OUT,outlet,7/3/17,0,2.179,212.4,1.631,7.429,88.4,18.41,9.627
OUT,outlet,7/7/17,0,2.36,235.3,2.871,9.375,97.32,19.19,11.3
OUT,outlet,7/7/17,0,1.826,239,2.83,9.773,97.16,18.32,11.04
OUT,outlet,7/7/17,0,1.566,213.9,1.775,9.136,86.17,16.17,10.09
OUT,outlet,7/7/17,0,1.095,145.4,1.345,7.926,58.28,11.42,7.455
OUT,outlet,7/7/17,0,0.5,171.5,2.498,8.666,67.75,11.53,8.287
OUT,outlet,7/7/17,0,0.5,191.3,2.297,8.824,74.93,10.94,8.738
OUT,outlet,7/7/17,0,0.5,214.9,2.856,9.426,82.45,11.06,9.337
OUT,outlet,7/7/17,0,0.5,229.7,2.568,9.252,88.6,11.5,9.728
OUT,outlet,7/7/17,0,0.5,232.2,1.168,9.383,90.36,12.22,9.826
OUT,outlet,7/7/17,0,0.5,233.2,3.709,9.434,90.93,13.05,9.967
OUT,outlet,7/7/17,0,0.5,228.1,3.635,9.388,90.87,13.73,10
OUT,outlet,7/7/17,0,1.638,224.2,8.234,9.499,91.33,14.27,10.34
OUT,outlet,7/13/17,0,1.658,196.5,1.947,8.451,78.97,13.33,9.569
OUT,outlet,7/13/17,0,1.012,158.1,3.161,8.366,62.16,11.11,8.71
OUT,outlet,7/13/17,0,0.5,156.3,3.382,8.33,61.97,10.9,8.79
OUT,outlet,7/13/17,0,0.5,160.4,3.463,8.342,62.9,11.09,9.079
OUT,outlet,7/13/17,0,1.04,162.5,3.624,8.554,64.04,11.55,9.289
OUT,outlet,7/13/17,0,1.148,161.5,3.029,8.249,63.05,11.65,8.98
OUT,outlet,7/13/17,0,1.167,159.7,3.525,8.022,63.25,11.85,8.877
OUT,outlet,7/13/17,0,1.306,164.9,3.823,8.128,65.29,12.43,9.045
OUT,outlet,7/13/17,0,1.273,164.8,4.18,7.97,64.6,12.53,9
OUT,outlet,7/13/17,0,1.324,160.8,4.179,8.068,64.6,12.86,9.098
OUT,outlet,7/13/17,0,1.351,159.1,4.756,7.943,62.94,13.13,9.088
OUT,outlet,7/13/17,0,1.41,157.9,5.012,8.035,63.72,13.49,9.131
OUT,outlet,6/1/17,0,0.5,230.7,0.5,6.269,89.15,11.37,8.79
OUT,outlet,6/2/17,0,0.5,252.8,0.5,6.655,96.66,13.02,9.14
OUT,outlet,6/3/17,0,0.5,261,0.5,6.59,99.6,13.23,9.181
OUT,outlet,6/4/17,0,0.5,262.8,0.5,6.655,102.8,13.68,9.193
OUT,outlet,6/5/17,0,0.5,249.1,0.5,6.409,95.37,12.29,8.608
OUT,outlet,6/6/17,0,0.5,248.4,0.5,6.379,95.99,11.65,8.554
OUT,outlet,8/25/17,0,2.559,239.5,4.618,7.021,102.5,19.47,8.416
OUT,outlet,8/28/17,0,2.543,237,4.975,6.303,102.5,21.8,8.105
OUT,outlet,9/12/17,0,2.838,230.3,7.428,5.709,108.5,23.67,8.003
OUT,outlet,9/15/17,0,2.771,235.2,6.41,6.051,108.1,24.83,8.295
OUT,outlet,9/18/17,0,2.869,236.3,5.284,6.047,109.1,24.96,8.04
OUT,outlet,9/21/17,0,3.345,230.5,6.42,6.836,109.4,28.6,8.997
OUT,outlet,9/29/17,0,3.631,279.9,10.62,6.946,124.7,32.54,9.892
OUT,outlet,10/1/17,0,3.543,279,10.96,7.335,126.4,33.37,10.19
OUT,outlet,10/3/17,0,3.385,276.2,9.133,6.71,126.5,31.84,9.486
OUT,outlet,10/5/17,0,3.468,269.2,8.515,7.869,121.8,27.7,8.979
OUT,outlet,10/8/17,0,2.983,225.9,7.391,8.182,98.35,26.96,8.291
OUT,outlet,10/8/17,0,2.953,227.7,9.694,7.654,102,28.18,8.722
OUT,outlet,10/8/17,0,2.911,223.7,8.659,7.661,98.33,27.17,8.615
OUT,outlet,10/8/17,0,2.739,206.4,7.985,7.749,92.75,26.32,8.665
OUT,outlet,10/9/17,0,2.341,171.4,4.163,8.382,74.28,21.46,7.768
OUT,outlet,10/9/17,0,1.849,125.6,1.768,7.872,54.72,15.42,5.638
OUT,outlet,10/9/17,0,2.097,144.6,3.737,8.858,62.53,16.83,6.253
OUT,outlet,10/9/17,0,1.817,163.4,2.488,8.931,70.95,16.11,6.774
OUT,outlet,10/9/17,0,1.632,178,1.706,8.861,75.54,14.93,6.698
OUT,outlet,10/9/17,0,1.606,207.4,1.691,8.859,85.36,15.65,7.395
OUT,outlet,10/9/17,0,1.695,212.4,2.173,8.582,90.3,16.39,7.528
OUT,outlet,10/9/17,0,1.884,213.5,2.743,8.549,90.45,16.96,7.469
OUT,outlet,10/11/17,0,2.192,210,4.655,7.137,89.54,19.74,7.63
OUT,outlet,10/11/17,0,2.619,204.3,8.249,7.049,90.51,24.44,8.028
OUT,outlet,10/11/17,0,2.628,204.5,8.527,6.893,90.71,25.04,8.154
OUT,outlet,10/11/17,0,2.538,200.2,9.651,6.776,89.22,24.35,8.08
OUT,outlet,10/11/17,0,2.426,189.2,9.465,6.84,84.3,22.74,7.77
OUT,outlet,10/11/17,0,2.528,194.9,8.612,7.036,87.93,23.88,7.808
OUT,outlet,10/11/17,0,2.504,195.7,9.034,7.084,87.22,22.81,7.837
OUT,outlet,10/11/17,0,2.557,201,8.978,7.248,89.43,23.15,8.024
OUT,outlet,10/11/17,0,2.515,198.3,9.148,7.151,86.75,23.47,8.298
OUT,outlet,10/11/17,0,2.541,200.2,9.34,7.121,88.98,23.77,7.942
OUT,outlet,10/11/17,0,2.452,206,9.341,6.883,91.7,23.85,7.938
