sample_name,Site,date,Depth_cm,Ca/Mg,Na/K,Fe/Na,logFeNa
OUT,outlet,6/9/17,0,1.482,2.355,0.047,-1.332
OUT,outlet,6/10/17,0,1.465,2.335,0.019,-1.712
OUT,outlet,6/10/17,0,1.458,2.356,0.066,-1.180
OUT,outlet,6/11/17,0,1.471,2.362,0.080,-1.098
OUT,outlet,6/11/17,0,1.585,2.341,0.058,-1.237
OUT,outlet,6/12/17,0,1.477,2.368,0.068,-1.168
OUT,outlet,6/12/17,0,1.449,2.520,0.051,-1.296
OUT,outlet,6/13/17,0,1.490,2.301,0.019,-1.720
OUT,outlet,6/27/17,0,1.514,2.202,0.049,-1.307
OUT,outlet,6/28/17,0,1.471,2.212,0.019,-1.713
OUT,outlet,6/29/17,0,1.459,2.211,0.053,-1.273
OUT,outlet,6/30/17,0,1.505,2.183,0.020,-1.706
OUT,outlet,7/1/17,0,1.507,2.101,0.022,-1.666
OUT,outlet,7/2/17,0,1.508,2.073,0.023,-1.631
OUT,outlet,7/3/17,0,1.457,2.204,0.070,-1.156
OUT,outlet,7/7/17,0,1.466,2.050,0.105,-0.980
OUT,outlet,7/7/17,0,1.492,1.921,0.106,-0.977
OUT,outlet,7/7/17,0,1.505,1.878,0.072,-1.140
OUT,outlet,7/7/17,0,1.513,1.600,0.074,-1.129
OUT,outlet,7/7/17,0,1.535,1.626,0.124,-0.906
OUT,outlet,7/7/17,0,1.548,1.684,0.108,-0.966
OUT,outlet,7/7/17,0,1.581,1.685,0.126,-0.900
OUT,outlet,7/7/17,0,1.572,1.788,0.109,-0.964
OUT,outlet,7/7/17,0,1.558,1.781,0.049,-1.310
OUT,outlet,7/7/17,0,1.555,1.797,0.153,-0.815
OUT,outlet,7/7/17,0,1.522,1.812,0.150,-0.825
OUT,outlet,7/7/17,0,1.489,1.851,0.328,-0.484
OUT,outlet,7/13/17,0,1.509,1.926,0.084,-1.077
OUT,outlet,7/13/17,0,1.542,1.771,0.149,-0.826
OUT,outlet,7/13/17,0,1.529,1.795,0.158,-0.800
OUT,outlet,7/13/17,0,1.546,1.851,0.157,-0.804
OUT,outlet,7/13/17,0,1.539,1.847,0.161,-0.794
OUT,outlet,7/13/17,0,1.553,1.851,0.139,-0.857
OUT,outlet,7/13/17,0,1.531,1.882,0.163,-0.787
OUT,outlet,7/13/17,0,1.532,1.893,0.174,-0.759
OUT,outlet,7/13/17,0,1.547,1.920,0.191,-0.719
OUT,outlet,7/13/17,0,1.509,1.918,0.189,-0.723
OUT,outlet,7/13/17,0,1.533,1.946,0.215,-0.667
OUT,outlet,7/13/17,0,1.503,1.933,0.226,-0.646
OUT,outlet,6/1/17,0,1.569,2.385,0.023,-1.630
OUT,outlet,6/2/17,0,1.586,2.336,0.023,-1.647
OUT,outlet,6/3/17,0,1.589,2.369,0.022,-1.649
OUT,outlet,6/4/17,0,1.550,2.349,0.022,-1.650
OUT,outlet,6/5/17,0,1.584,2.284,0.024,-1.621
OUT,outlet,6/6/17,0,1.569,2.281,0.024,-1.619
OUT,outlet,8/25/17,0,1.417,2.039,0.226,-0.646
OUT,outlet,8/28/17,0,1.402,2.187,0.253,-0.597
OUT,outlet,9/12/17,0,1.287,2.384,0.382,-0.418
OUT,outlet,9/15/17,0,1.319,2.331,0.318,-0.497
OUT,outlet,9/18/17,0,1.313,2.261,0.271,-0.568
OUT,outlet,9/21/17,0,1.278,2.238,0.294,-0.532
OUT,outlet,9/29/17,0,1.361,2.422,0.442,-0.355
OUT,outlet,10/1/17,0,1.339,2.363,0.443,-0.354
OUT,outlet,10/3/17,0,1.324,2.404,0.396,-0.402
OUT,outlet,10/5/17,0,1.340,1.941,0.390,-0.408
OUT,outlet,10/8/17,0,1.393,1.723,0.367,-0.435
OUT,outlet,10/8/17,0,1.354,1.938,0.458,-0.340
OUT,outlet,10/8/17,0,1.380,1.912,0.414,-0.383
OUT,outlet,10/8/17,0,1.349,1.902,0.379,-0.421
OUT,outlet,10/9/17,0,1.399,1.576,0.221,-0.656
OUT,outlet,10/9/17,0,1.392,1.218,0.129,-0.889
OUT,outlet,10/9/17,0,1.402,1.201,0.246,-0.609
OUT,outlet,10/9/17,0,1.397,1.290,0.151,-0.820
OUT,outlet,10/9/17,0,1.429,1.286,0.105,-0.979
OUT,outlet,10/9/17,0,1.473,1.420,0.094,-1.026
OUT,outlet,10/9/17,0,1.426,1.492,0.119,-0.925
OUT,outlet,10/9/17,0,1.431,1.486,0.151,-0.820
OUT,outlet,10/11/17,0,1.422,1.818,0.251,-0.600
OUT,outlet,10/11/17,0,1.369,1.937,0.423,-0.374
OUT,outlet,10/11/17,0,1.367,2.012,0.431,-0.366
OUT,outlet,10/11/17,0,1.361,2.028,0.492,-0.308
OUT,outlet,10/11/17,0,1.361,1.932,0.501,-0.300
OUT,outlet,10/11/17,0,1.344,1.887,0.454,-0.343
OUT,outlet,10/11/17,0,1.361,1.881,0.475,-0.324
OUT,outlet,10/11/17,0,1.363,1.883,0.461,-0.337
OUT,outlet,10/11/17,0,1.386,1.973,0.454,-0.343
OUT,outlet,10/11/17,0,1.364,1.897,0.484,-0.315
OUT,outlet,10/11/17,0,1.362,1.961,0.484,-0.315
OUT,outlet,10/11/17,0,1.396,1.910,0.473,-0.325
OUT,outlet,10/14/17,0,1.345,2.083,0.385,-0.414
OUT,outlet,10/15/17,0,1.341,2.222,0.376,-0.424
OUT,outlet,10/16/17,0,1.340,2.074,0.457,-0.340
OUT,outlet,10/17/17,0,1.358,2.125,0.505,-0.297
OUT,outlet,10/18/17,0,1.370,2.009,0.521,-0.283
OUT,outlet,10/19/17,0,1.332,2.254,0.361,-0.442
OUT,outlet,10/20/17,0,1.349,2.315,0.459,-0.338
OUT,outlet,6/14/17,0,1.524,2.271,0.153,-0.816
OUT,outlet,6/14/17,0,1.532,2.240,0.051,-1.294
OUT,outlet,6/14/17,0,1.567,2.246,0.086,-1.064
OUT,outlet,6/14/17,0,1.538,2.260,0.105,-0.978
OUT,outlet,6/14/17,0,1.525,2.213,0.061,-1.216
OUT,outlet,6/14/17,0,1.537,2.240,0.097,-1.015
OUT,outlet,6/14/17,0,1.533,2.287,0.060,-1.218
OUT,outlet,6/14/17,0,1.508,2.245,0.086,-1.066
OUT,outlet,6/14/17,0,1.521,2.220,0.196,-0.708
OUT,outlet,6/14/17,0,1.525,2.250,0.201,-0.698
OUT,outlet,6/14/17,0,1.520,2.247,0.117,-0.930
OUT,outlet,6/14/17,0,1.510,2.200,0.020,-1.702
OUT,outlet,10/22/17,0,1.350,2.371,0.428,-0.369
OUT,outlet,10/23/17,0,1.363,2.348,0.490,-0.310
OUT,outlet,10/24/17,0,1.358,2.168,0.556,-0.255
OUT,outlet,10/25/17,0,1.364,1.916,0.507,-0.295
OUT,outlet,10/26/17,0,1.377,2.035,0.429,-0.368
OUT,outlet,10/27/17,0,1.350,2.135,0.654,-0.185
OUT,outlet,10/28/17,0,1.339,2.138,0.523,-0.282
OUT,outlet,10/29/17,0,1.310,2.122,0.582,-0.235
OUT,outlet,10/30/17,0,1.337,2.213,0.577,-0.239
OUT,outlet,11/15/17,0,1.337,2.188,0.413,-0.384
OUT,outlet,11/15/17,0,1.344,2.118,0.332,-0.478
OUT,outlet,11/15/17,0,1.341,2.109,0.282,-0.550
OUT,outlet,11/15/17,0,1.345,2.137,0.324,-0.490
OUT,outlet,11/15/17,0,1.320,2.179,0.312,-0.505
OUT,outlet,11/15/17,0,1.318,2.178,0.309,-0.510
OUT,outlet,11/15/17,0,1.310,2.181,0.284,-0.546
