,sample_name,date_and_time,Q_m3s,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,SO42_mgL,pH,EC,newdate,year,doy,min,hour,time,Al_mmolL,Ca_mmolL,Fe_mmolL,K_mmolL,Mg_mmolL,Mn_mmolL,Na_mmolL,SO42_mmolL
49,OUT 1,11/15/17 16:31,0.008586309,3.276,203.3,8.532,6.614,92.19,25.95,8.51,807.8926,3.13,1428,11/15/17 16:31,2017,319,31,16,16.51666667,0.121414276,5.072355289,0.152780016,0.169160337,3.793046698,0.47235065,0.37016094,8.410291484
50,OUT 2,11/15/17 17:31,0.009297112,2.494,152.1,5.975,5.942,68.61,19.57,7.401,667.3185,3.23,1272,11/15/17 17:31,2017,319,31,17,17.51666667,0.092431992,3.79491018,0.106992569,0.151973196,2.822875951,0.356219739,0.321922575,6.946892567
51,OUT 3,11/15/17 18:31,0.009912993,2.372,143.7,4.804,5.658,64.99,18.28,7.017,687.6305,3.19,1256,11/15/17 18:31,2017,319,31,18,18.51666667,0.087910459,3.585329341,0.086023816,0.144709583,2.673935404,0.332738724,0.305219661,7.158343743
52,OUT 4,11/15/17 19:31,0.009916301,2.376,142.7,5.528,5.595,64.36,18.13,7.031,639.0436,3.19,1245,11/15/17 19:31,2017,319,31,19,19.51666667,0.088058706,3.560379242,0.098988271,0.143098289,2.648014812,0.330008373,0.305828621,6.652546325
53,OUT 5,11/15/17 20:31,0.009725178,2.33,140.1,5.298,5.45,64.38,17.62,6.982,660.5794,3.19,1244,11/15/17 20:31,2017,319,31,20,20.51666667,0.086353866,3.495508982,0.094869729,0.139389754,2.648837688,0.320725181,0.30369726,6.876737456
54,OUT 6,11/15/17 21:31,0.009661242,2.328,137.6,5.277,5.49,63.32,17.7,7.031,753.8204,3.19,1236,11/15/17 21:31,2017,319,31,21,21.51666667,0.086279742,3.433133733,0.094493688,0.140412798,2.605225262,0.322181368,0.305828621,7.847391214
55,OUT 7,11/15/17 22:31,0.009789001,2.287,138.9,4.939,5.579,64.31,17.58,7.156,669.9542,3.25,1259,11/15/17 22:31,2017,319,31,22,22.51666667,0.084760211,3.465568862,0.088441221,0.142689071,2.645957622,0.319997088,0.311265768,6.974330627
56,OUT 8,11/15/17 23:31,0.009789001,2.347,141.8,5.261,5.568,65.45,17.76,7.119,653.4982,3.24,1250,11/15/17 23:31,2017,319,31,23,23.51666667,0.086983915,3.537924152,0.094207181,0.142407734,2.692861551,0.323273508,0.309656372,6.803021029
57,OUT 9,11/16/17 0:31,0.010152574,2.326,140.9,5.031,5.452,66.54,17.73,7.033,693.0782,3.21,1262,11/16/17 0:31,2017,320,31,0,0.516666667,0.086205619,3.515469062,0.090088638,0.139440906,2.73770829,0.322727438,0.305915615,7.215055174
58,OUT 10,11/16/17 1:31,0.01008638,2.31,143.3,4.985,5.45,64.41,17.83,7.005,638.5984,3.24,1266,11/16/17 1:31,2017,320,31,1,1.516666667,0.085612631,3.575349301,0.08926493,0.139389754,2.650072002,0.324547672,0.304697695,6.647911722
59,OUT 11,11/16/17 2:31,0.01002007,2.404,145.1,5.337,5.538,67.77,18.23,7.226,701.9765,3.23,1269,11/16/17 2:31,2017,320,31,2,2.516666667,0.089096435,3.620259481,0.09556809,0.141640451,2.788315161,0.331828607,0.31431057,7.307687903
60,OUT 12,11/16/17 3:31,0.009953642,2.377,142.9,5.188,5.481,66.22,17.91,6.921,690.6591,3.2,1290,11/16/17 3:31,2017,320,31,3,3.516666667,0.088095768,3.565369261,0.092899991,0.140182613,2.724542275,0.326003859,0.301043932,7.189871955
