"","sample_name","date_and_time","Q_m3s","Al_mgL","Ca_mgL","Fe_mgL","K_mgL","Mg_mgL","Mn_mgL","Na_mgL","SO42_mgL","pH","EC","newdate","year","doy","min","hour","time","Al_mmolL","Ca_mmolL","Fe_mmolL","K_mmolL","Mg_mmolL","Mn_mmolL","Na_mmolL","SO42_mmolL"
"37","OUT 1","10/11/17 3:02",0.002598,2.192,210,4.655,7.137,89.54,19.74,7.63,949.3677,2.95,1701,2017-10-11 03:02:00,2017,284,2,3,3.03333333333333,0.0812393447483508,5.23952095808383,0.0833557167159101,0.182536637765672,3.68401563464308,0.359314135935054,0.331883427577208,9.88306995627733
"38","OUT 2","10/11/17 4:02",0.002192,2.619,204.3,8.249,7.049,90.51,24.44,8.028,950.259,2.89,1719,2017-10-11 04:02:00,2017,284,2,4,4.03333333333333,0.0970647098065377,5.09730538922156,0.147712418300654,0.180285940816901,3.72392511828842,0.444865120681496,0.34919530230535,9.89234853216739
"39","OUT 3","10/11/17 5:02",0.001785,2.628,204.5,8.527,6.893,90.71,25.04,8.154,1291.543,2.91,1741,2017-10-11 05:02:00,2017,284,2,5,5.03333333333333,0.0973982655103402,5.10229540918164,0.152690482585728,0.17629606895317,3.73215387780292,0.455786522989552,0.354675946063506,13.4451696856132
"40","OUT 4","10/11/17 6:02",0.001785,2.538,200.2,9.651,6.776,89.22,24.35,8.08,895.9803,2.96,1611,2017-10-11 06:02:00,2017,284,2,6,6.03333333333333,0.0940627084723149,4.99500998003992,0.172817620198764,0.173303665055372,3.67084961941987,0.443226910335287,0.351457155284907,9.32729856339788
"41","OUT 5","10/11/17 7:02",0.001785,2.426,189.2,9.465,6.84,84.3,22.74,7.77,907.3518,2.96,1678,2017-10-11 07:02:00,2017,284,2,7,7.03333333333333,0.0899117930472167,4.72055888223553,0.16948697287134,0.174940535563569,3.46842213536309,0.413921147475336,0.337973031752936,9.4456777014366
"42","OUT 6","10/11/17 8:02",0.001785,2.528,194.9,8.612,7.036,87.93,23.88,7.808,908.6478,2.95,1649,2017-10-11 08:02:00,2017,284,2,8,8.03333333333333,0.0936920910236454,4.8627744510978,0.154212552600949,0.179953451494923,3.61777412055133,0.434671811860643,0.33962592431492,9.45916926920675
"43","OUT 7","10/11/17 9:02",0.001785,2.504,195.7,9.034,7.084,87.22,22.81,7.837,920.6755,2.96,1669,2017-10-11 09:02:00,2017,284,2,9,9.03333333333333,0.0928026091468386,4.88273453093812,0.161769182558868,0.181181104376071,3.58856202427484,0.415195311077942,0.340887342322749,9.58437955444514
"44","OUT 8","10/11/17 10:02",0.001785,2.557,201,8.978,7.248,89.43,23.15,8.024,954.7222,2.96,1697,2017-10-11 10:02:00,2017,284,2,10,10.0333333333333,0.0947668816247869,5.01497005988024,0.160766407019429,0.185375585053326,3.6794898169101,0.421384105719174,0.349021313614615,9.93881115969186
"45","OUT 9","10/11/17 11:02",0.001785,2.515,198.3,9.148,7.151,86.75,23.47,22.59,925.5076,2.94,1702,2017-10-11 11:02:00,2017,284,2,11,11.0333333333333,0.0932102883403751,4.94760479041916,0.16381054704987,0.18289470318934,3.56922443941576,0.427208853616804,0.98260113092649,9.63468249011035
"46","OUT 10","10/11/17 12:02",0.001785,2.541,200.2,9.34,7.121,88.98,23.77,7.942,944.9055,2.95,1704,2017-10-11 12:02:00,2017,284,2,12,12.0333333333333,0.0941738937069157,4.99500998003992,0.167248634613663,0.182127420138622,3.66097510800247,0.432669554770833,0.345454545454545,9.83661773891318
"47","OUT 11","10/11/17 13:02",0.001638,2.452,206,9.341,6.883,91.7,23.85,7.938,955.8175,2.94,1683,2017-10-11 13:02:00,2017,284,2,13,13.0333333333333,0.0908753984137573,5.13972055888224,0.167266541319724,0.176040307936264,3.77288623739971,0.43412574174524,0.34528055676381,9.95021340828649
"48","OUT 12","10/11/17 14:02",0.001638,2.491,203.7,8.846,6.861,88.48,23.24,7.705,967.1515,2.93,1695,2017-10-11 14:02:00,2017,284,2,14,14.0333333333333,0.0923208064635683,5.08233532934132,0.158402721819321,0.175477633699072,3.64040320921621,0.423022316065383,0.335145715528491,10.0682021653133
