Date,pH,EC,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,SO42_mgL,Cl_mgL
6/9/17,5.02,1528,0.5,237.6,1.193,7.618,97.25,12.9,10.55,904.1361,3.7721
6/10/17,4.76,1531,0.5,242.1,0.5,7.729,100.2,14.36,10.61,903.7807,3.2212
6/10/17,5.06,1552,0.5,246.7,1.729,7.782,102.6,14.47,10.78,906.2249,3.7459
6/11/17,4.37,1574,0.5,247.7,2.072,7.703,102.1,14.67,10.7,920.5907,3.2731
6/11/17,4.42,1591,1.038,250.3,1.512,7.81,95.75,14.95,10.75,951.4674,3.5347
6/12/17,4.11,1595,0.5,250.1,1.793,7.808,102.7,15.12,10.87,927.6302,3.3359
6/12/17,4.21,1628,1.705,332.4,1.517,8.327,139.1,15.55,12.34,956.5919,2.8927
6/13/17,4.07,1640,1.155,254,0.5,7.984,103.4,15.17,10.8,957.2208,3.6331
6/27/17,3.92,1580,0.5,276.9,1.363,8.795,110.9,19.07,11.39,949.603,3.8373
6/28/17,3.64,1667,1.921,260.1,0.5,8.167,107.2,18.44,10.62,1004.1205,3.3608
6/29/17,3.79,1686,2.348,264,1.389,8.254,109.7,18.55,10.73,993.2257,3.0248
6/30/17,3.97,1551,1.409,268.6,0.5,8.142,108.2,18.29,10.45,913.1895,3.2677
7/1/17,3.96,1358,2.004,232,0.5,7.718,93.35,17.34,9.533,768.4098,3.2827
7/2/17,3.38,1485,1.803,201.1,0.5,7.219,80.89,15.22,8.8,792.7352,3.7178
7/3/17,3.33,1584,2.179,212.4,1.631,7.429,88.4,18.41,9.627,864.9914,3.5945
7/7/17,3.34,1572,2.36,235.3,2.871,9.375,97.32,19.19,11.3,921.2365,5.6319
7/7/17,3.41,1624,1.826,239,2.83,9.773,97.16,18.32,11.04,968.6562,4.5946
7/7/17,3.61,1110,1.566,213.9,1.775,9.136,86.17,16.17,10.09,794.0799,3.3315
7/7/17,3.72,1156,1.095,145.4,1.345,7.926,58.28,11.42,7.455,590.297,3.4902
7/7/17,4.05,1228,0.5,171.5,2.498,8.666,67.75,11.53,8.287,679.0067,3.4894
7/7/17,4.77,1272,0.5,191.3,2.297,8.824,74.93,10.94,8.738,710.7048,3.6362
7/7/17,5.34,1366,0.5,214.9,2.856,9.426,82.45,11.06,9.337,775.6377,3.8135
7/7/17,5.18,1408,0.5,229.7,2.568,9.252,88.6,11.5,9.728,796.6398,3.9168
7/7/17,4.78,1430,0.5,232.2,1.168,9.383,90.36,12.22,9.826,814.983,4.1269
7/7/17,4.36,1441,0.5,233.2,3.709,9.434,90.93,13.05,9.967,822.7819,3.9599
7/7/17,4.13,1448,0.5,228.1,3.635,9.388,90.87,13.73,10,806.9613,3.7779
7/7/17,3.98,1458,1.638,224.2,8.234,9.499,91.33,14.27,10.34,826.1962,3.9513
7/13/17,3.86,1143,1.658,196.5,1.947,8.451,78.97,13.33,9.569,676.5503,4.2293
7/13/17,3.95,1104,1.012,158.1,3.161,8.366,62.16,11.11,8.71,627.4337,4.5027
7/13/17,4.01,1114,0.5,156.3,3.382,8.33,61.97,10.9,8.79,643.5015,4.0884
