,Date,Site,pH,EC,Al_mgL,Ca_mgL,Fe_mgL,K_mgL,Mg_mgL,Mn_mgL,Na_mgL,SO42_mgL,Cl_mgL,Al_mmolL,Ca_mmolL,Fe_mmolL,K_mmolL,Mg_mmolL,Mn_mmolL,Na_mmolL,SO42_mmolL,Cl_mmolL,newdate,doy
129,3/27/17,OUT,5.64,1545,0.5,217.3,2.217,6.283,87.62,14.8,8.104,NA,NA,0.02,5.42,0.04,0.16,3.61,0.27,0.35,NA,NA,3/27/17,86
130,4/1/17,OUT,3.49,673,0.5,81.92,1.889,4.265,35.25,5.456,6.75,623.7186,NA,0.02,2.04,0.03,0.11,1.45,0.10,0.29,6.5,NA,4/1/17,91
120,4/5/17,OUT,6.43,878,0.5,121.5,0.5,4.855,46.72,4.977,8.59,672.6363,NA,0.02,3.03,0.01,0.12,1.92,0.09,0.37,7.0,NA,4/5/17,95
123,4/13/17,OUT,6.34,491,0.5,179.4,1.67,6.055,72.14,8.422,9.13,908.03,NA,0.02,4.48,0.03,0.15,2.97,0.15,0.40,9.5,NA,4/13/17,103
124,4/19/17,OUT,5.96,693,0.5,239.3,1.67,6.055,95.81,8.422,9.13,925.3673,NA,0.02,5.97,0.03,0.15,3.94,0.15,0.40,9.6,NA,4/19/17,109
131,4/26/17,OUT,5.17,1524,0.5,245.5,0.5,6.63,95.56,10.88,13.09,863.3589,NA,0.02,6.13,0.01,0.17,3.93,0.20,0.57,9.0,NA,4/26/17,116
132,5/19/17,OUT,6.82,948,0.5,161.4,2.124,4.959,59.01,5.752,12.83,525.4238,NA,0.02,4.03,0.04,0.13,2.43,0.10,0.56,5.5,NA,5/19/17,139
133,5/26/17,OUT,NA,1360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/26/17,146
40,6/1/17,OUT,6.23,1454,0.5,230.7,0.5,6.269,89.15,11.37,8.79,847.1476,5.3793,0.02,5.76,0.01,0.16,3.67,0.21,0.38,8.8,0.152,6/1/17,152
41,6/2/17,OUT,6.18,1514,0.5,252.8,0.5,6.655,96.66,13.02,9.14,871.7638,3.5563,0.02,6.31,0.01,0.17,3.98,0.24,0.40,9.1,0.100,6/2/17,153
42,6/3/17,OUT,6.15,1512,0.5,261,0.5,6.59,99.6,13.23,9.181,883.6022,3.2821,0.02,6.51,0.01,0.17,4.10,0.24,0.40,9.2,0.093,6/3/17,154
43,6/4/17,OUT,6.42,1576,0.5,262.8,0.5,6.655,102.8,13.68,9.193,948.3341,3.0935,0.02,6.56,0.01,0.17,4.23,0.25,0.40,9.9,0.087,6/4/17,155
44,6/5/17,OUT,3.82,1512,0.5,249.1,0.5,6.409,95.37,12.29,8.608,840.3724,3.1138,0.02,6.22,0.01,0.16,3.92,0.22,0.37,8.7,0.088,6/5/17,156
45,6/6/17,OUT,6.09,1454,0.5,248.4,0.5,6.379,95.99,11.65,8.554,852.4732,3.1723,0.02,6.20,0.01,0.16,3.95,0.21,0.37,8.9,0.089,6/6/17,157
134,6/7/17,OUT,5.32,1482,0.5,237.9,4.206,6.243,93.92,14.38,8.56,916.307,NA,0.02,5.94,0.08,0.16,3.86,0.26,0.37,9.5,NA,6/7/17,158
1,6/9/17,OUT,5.02,1528,0.5,237.6,1.193,7.618,97.25,12.9,10.55,904.1361,3.7721,0.02,5.93,0.02,0.19,4.00,0.23,0.46,9.4,0.106,6/9/17,160
2,6/10/17,OUT,4.76,1531,0.5,242.1,0.5,7.729,100.2,14.36,10.61,903.7807,3.2212,0.02,6.04,0.01,0.20,4.12,0.26,0.46,9.4,0.091,6/10/17,161
