sample_name,Depth_cm,Site,Almean,Alsd,Alsem,Camean,Casd,Casem,Femean,Fesd,Fesem
BDP,0,below dam pool,0.029,0.024,0.005,3.6,1.7,0.4,0.8,0.4,0.1
DP,0,dam pool,0.019,0.000,0.000,2.0,1.4,0.3,0.4,0.5,0.1
P1,100,below dam pool,0.019,0.000,0.000,6.93,0.42,0.09,1.3,0.7,0.1
P10,60,stream bank,0.019,0.000,0.000,2.25,0.25,0.06,5.4,1.1,0.3
P11,30,stream bank,0.019,0.000,0.000,2.3,0.8,0.3,3.9,2.4,0.8
P12,15,stream bank,0.019,0.000,0.000,1.3,0.4,0.2,0.8,0.5,0.3
P2,60,below dam pool,0.019,0.000,0.000,7.0,0.6,0.1,1.1,0.6,0.1
P3,30,below dam pool,0.019,0.000,0.000,6.9,0.6,0.1,1.13,0.39,0.09
P4,15,below dam pool,0.019,0.000,0.000,7.0,0.5,0.1,0.8,0.5,0.1
P5,100,dam pool,0.019,0.000,0.000,6.71,0.35,0.08,2.3,0.5,0.1
P6,60,dam pool,0.019,0.000,0.000,6.55,0.39,0.09,2.5,0.5,0.1
P7,30,dam pool,0.019,0.000,0.000,5.6,0.5,0.1,1.2,0.7,0.1
P8,15,dam pool,0.019,0.000,0.000,6.79,0.40,0.09,1.2,0.8,0.2
P9,100,stream bank,0.019,0.000,0.000,5.0,0.7,0.2,1.3,0.7,0.2
sample_name,Depth_cm,Site,Kmean,Ksd,Ksem,Mgmean,Mgsd,Mgsem,Mnmean,Mnsd,Mnsem
BDP,0,below dam pool,0.158,0.042,0.009,2.9,1.3,0.3,0.32,0.16,0.03
DP,0,dam pool,0.139,0.042,0.009,1.6,1.2,0.3,0.18,0.14,0.03
P1,100,below dam pool,0.27,0.13,0.03,5.46,0.32,0.07,0.66,0.05,0.01
P10,60,stream bank,0.37,0.10,0.02,1.94,0.21,0.05,0.36,0.05,0.01
P11,30,stream bank,0.46,0.11,0.04,1.8,0.4,0.1,0.40,0.10,0.04
P12,15,stream bank,0.20,0.05,0.03,1.1,0.2,0.1,0.27,0.03,0.02
P2,60,below dam pool,0.22,0.08,0.02,5.5,0.5,0.1,0.66,0.05,0.01
P3,30,below dam pool,0.192,0.030,0.007,5.4,0.4,0.1,0.65,0.06,0.01
P4,15,below dam pool,0.189,0.029,0.007,5.52,0.37,0.08,0.66,0.07,0.02
P5,100,dam pool,0.187,0.029,0.006,5.09,0.27,0.06,0.60,0.06,0.01
P6,60,dam pool,0.198,0.037,0.008,5.06,0.31,0.07,0.62,0.07,0.02
P7,30,dam pool,0.170,0.035,0.008,4.31,0.40,0.09,0.53,0.05,0.01
P8,15,dam pool,0.188,0.038,0.008,5.24,0.31,0.07,0.606,0.032,0.007
P9,100,stream bank,0.187,0.032,0.008,3.4,0.5,0.1,0.55,0.11,0.03
sample_name,Depth_cm,Site,Namean,Nasd,Nasem,SO42mean,SO42sd,SO42sem,Clmean,Clsd,Clsem
BDP,0,below dam pool,0.38,0.08,0.02,7.3,3.2,0.7,0.25,0.10,0.02
DP,0,dam pool,0.33,0.06,0.01,3.4,2.5,0.6,0.25,0.09,0.02
P1,100,below dam pool,0.52,0.09,0.02,15.0,4.6,1.0,0.30,0.16,0.04
P10,60,stream bank,0.39,0.07,0.02,9.2,2.1,0.5,0.25,0.05,0.01
P11,30,stream bank,0.45,0.17,0.06,7.0,3.0,1.0,0.33,0.23,0.08
P12,15,stream bank,0.31,0.04,0.02,2.248,0.010,0.006,0.85,NA,NA
P2,60,below dam pool,0.52,0.10,0.02,13.3,1.6,0.4,0.17,0.06,0.01
P3,30,below dam pool,0.50,0.10,0.02,12.8,3.3,0.7,0.16,0.04,0.01
P4,15,below dam pool,0.49,0.08,0.02,13.2,1.1,0.3,0.159,0.025,0.006
P5,100,dam pool,0.50,0.11,0.02,12.9,2.2,0.5,0.19,0.09,0.02
P6,60,dam pool,0.48,0.10,0.02,12.7,2.1,0.5,0.158,0.024,0.005
P7,30,dam pool,0.44,0.11,0.03,9.5,1.4,0.3,0.26,0.34,0.08
P8,15,dam pool,0.48,0.10,0.02,13.3,2.1,0.5,0.18,0.07,0.02
P9,100,stream bank,0.43,0.09,0.02,9.7,1.8,0.4,0.22,0.05,0.01
sample_name,Depth_cm,Site,pHmean,pHsd,pHsem,ECmean,ECsd,ECsem,,,
BDP,0,below dam pool,5.50,0.43,0.09,993,458,100,,,
DP,0,dam pool,6.0,0.5,0.1,556,326,71,,,
P1,100,below dam pool,4.9,1.2,0.3,1637,464,104,,,
P10,60,stream bank,4.5,1.0,0.2,1271,349,80,,,
P11,30,stream bank,4.8,1.2,0.3,1353,355,81,,,
P12,15,stream bank,6.54,0.06,0.01,448,88,20,,,
P2,60,below dam pool,4.5,1.2,0.3,1642,317,71,,,
P3,30,below dam pool,4.5,1.0,0.2,1597,350,78,,,
P4,15,below dam pool,3.9,1.0,0.2,1444,641,143,,,
P5,100,dam pool,5.88,0.34,0.08,1649,290,65,,,
P6,60,dam pool,5.96,0.25,0.06,1666,272,61,,,
P7,30,dam pool,6.15,0.30,0.07,1342,335,75,,,
P8,15,dam pool,4.8,1.2,0.3,1422,492,110,,,
P9,100,stream bank,5.0,1.3,0.3,1349,290,67,,,
