sample_name,Site,date,Depth_cm,Al_mmolL,Ca_mmolL,Fe_mmolL,K_mmolL,Mg_mmolL,Mn_mmolL,Na_mmolL,SO42_mmolL
BDP,below dam pool,4/1/17,0,0.018530872,1.208582834,0.074348644,0.099235275,0.885825962,0.054661619,0.278816877,2.727838851
BDP,below dam pool,4/5/17,0,0.018530872,1.213572854,0.090124452,0.100130438,0.887060276,0.058611526,0.458025228,NA
BDP,below dam pool,4/13/17,0,0.018530872,1.795159681,0.295102516,0.117368731,1.640814647,0.145545888,0.335363201,3.516401208
BDP,below dam pool,4/19/17,0,0.043992291,3.221057884,0.760855941,0.163354561,2.531166427,0.339109542,0.454110483,7.147216323
BDP,below dam pool,4/26/17,0,0.018530872,3.597804391,0.769809294,0.147727563,2.887883152,0.2990644,0.37277077,6.178456173
BDP,below dam pool,4/26/17,0,0.018530872,3.597804391,0.769809294,0.147727563,2.887883152,0.2990644,0.37277077,6.178456173
BDP,below dam pool,5/19/17,0,0.018530872,1.210578842,0.149270302,0.102636896,0.97757663,0.08045433,0.298390605,2.154065168
BDP,below dam pool,5/26/17,0,0.018530872,1.106786427,0.465037156,0.118519655,1.903723514,0.196221195,0.335058721,4.156633354
BDP,below dam pool,6/1/17,0,0.018530872,3.615269461,0.801862297,0.136704264,2.73770829,0.327642069,0.354197477,6.999960441
BDP,below dam pool,6/9/17,0,0.018530872,3.517964072,0.747604978,0.135118545,2.730302407,0.305799265,0.343105698,5.422629606
BDP,below dam pool,6/13/17,0,0.018530872,4.515968064,1.066523413,0.191462697,3.669615305,0.417015545,0.468029578,7.73621903
BDP,below dam pool,6/20/17,0,0.018530872,4.613273453,1.113438983,0.189774675,3.73585682,0.429029087,0.4584602,12.23681866
BDP,below dam pool,7/3/17,0,0.018530872,3.819860279,0.856477751,0.178904831,2.973873689,0.356765809,0.394649848,7.448665417
BDP,below dam pool,7/7/17,0,0.050366911,4.216566866,0.927746441,0.19419934,3.408352191,0.418471732,0.431274467,9.713387466
BDP,below dam pool,7/13/17,0,0.018530872,1.826596806,0.285791029,0.128596639,1.519440444,0.151516255,0.281992171,5.367942952
BDP,below dam pool,8/25/17,0,0.063672078,4.892714571,1.044498165,0.148418118,3.90660358,0.435581929,0.335015224,9.245197793
BDP,below dam pool,9/5/17,0,0.04736491,4.570858283,0.840182648,0.277244942,3.563875746,0.380428847,0.616354937,8.450022902
BDP,below dam pool,9/29/17,0,0.12000593,5.860778443,1.263139046,0.199877235,4.809709936,0.53496669,0.370073945,12.41751405
BDP,below dam pool,10/6/17,0,0.018530872,6.464570858,1.599964187,0.184915215,5.180004114,0.541519531,0.367116137,11.14421091
BDP,below dam pool,10/20/17,0,0.018530872,6.492015968,1.777956845,0.194327221,5.291092368,0.622701955,0.420400174,12.27962211
BDP,below dam pool,11/3/17,0,0.018530872,3.173652695,0.647148357,0.174863807,2.727010903,0.30179475,0.305176164,4.956271081
DP,dam pool,4/1/17,0,0.018530872,1.540169661,0.268958725,0.097854165,1.234313927,0.133404929,0.273162244,4.375506975
DP,dam pool,4/5/17,0,0.018530872,0.913423154,0.008953353,0.093838717,0.656243571,0.03574939,0.459330144,NA
DP,dam pool,4/13/17,0,0.018530872,1.109281437,0.008953353,0.098519144,0.8212302,0.046634388,0.325097869,1.711420987
DP,dam pool,4/19/17,0,0.018530872,1.202844311,0.045268153,0.103480907,1.170129603,0.109432451,0.348064376,3.307454716
DP,dam pool,4/26/17,0,0.018530872,5.369261477,1.418748321,0.213253536,4.534046492,0.437402162,0.436711614,5.708344785
DP,dam pool,5/19/17,0,0.018530872,0.696606786,0.008953353,0.096396327,0.499074265,0.020459427,0.325141366,0.367811784
DP,dam pool,5/26/17,0,0.018530872,0.908682635,0.008953353,0.093634108,0.680106974,0.040208963,0.304741192,1.151054549
DP,dam pool,6/1/17,0,0.018530872,1.312874251,0.315874295,0.105296811,1.115408352,0.13418763,0.300782949,2.372451593
DP,dam pool,6/9/17,0,0.018530872,1.204091816,0.191243621,0.098109926,0.956181856,0.125341294,0.306437582,1.720421611
DP,dam pool,6/13/17,0,0.018530872,1.454091816,0.413823977,0.158034732,1.25817733,0.166624195,0.394040887,2.06112742
DP,dam pool,6/20/17,0,0.018530872,1.266966068,0.166102605,0.136295046,1.075910307,0.128071644,0.336972597,2.187238184
DP,dam pool,7/3/17,0,0.018530872,1.476047904,0.251052019,0.133302642,1.292326682,0.149168153,0.309395389,1.42076827
DP,dam pool,7/7/17,0,0.018530872,1.223053892,0.12133584,0.152791631,1.038880889,0.147093087,0.325619835,3.695654799
DP,dam pool,7/13/17,0,0.018530872,0.918413174,0.039090339,0.10608967,0.727833779,0.066620554,0.244062636,1.339290027
DP,dam pool,8/25/17,0,0.018530872,3.136227545,0.838212911,0.165017008,2.500308578,0.286322764,0.2953893,5.469704351
DP,dam pool,9/5/17,0,0.018530872,1.874750499,0.109069747,0.2153252,1.523143386,0.137136408,0.478033928,2.909607537
DP,dam pool,9/29/17,0,0.018530872,4.785429142,1.393678933,0.191027904,4.134951656,0.478357421,0.359112658,10.38472309
DP,dam pool,10/6/17,0,0.018530872,4.880239521,1.517414272,0.204046139,4.051841185,0.471440533,0.357720748,7.704184884
DP,dam pool,10/20/17,0,0.018530872,2.410429142,0.348285433,0.159160081,2.050195433,0.281044086,0.304828186,4.199529461
DP,dam pool,11/3/17,0,0.018530872,1.588073852,0.053147104,0.167190977,1.398477679,0.13497033,0.241148325,2.542255882
P1,below dam pool,4/1/17,100,0.018530872,7.45508982,1.467096428,0.195401417,5.558527052,0.618515417,0.633753806,16.42556735
P1,below dam pool,4/5/17,100,0.018530872,7.55489022,1.12579461,0.335302693,5.838304876,0.647457133,0.565898217,19.55912346
P1,below dam pool,4/13/17,100,0.018530872,6.953592814,1.459396544,0.367017059,5.558527052,0.749390222,0.540234885,15.60805122
