sample_name,Site,Date,Depth_cm,DOC_mmolL,DOC_mgL,,,,
BDP,below dam pool,4/1/17,0,0.277,3.326,,,,
BDP,below dam pool,4/5/17,0,0.198,2.381,,,,
BDP,below dam pool,4/13/17,0,0.532,6.386,,0.961111111,,0.065773041
BDP,below dam pool,4/26/17,0,0.692,8.315,,0.545370127,,
BDP,below dam pool,5/19/17,0,0.393,4.722,,0.128544972,,
BDP,below dam pool,5/26/17,0,0.545,6.544,,,,
BDP,below dam pool,6/1/17,0,0.847,10.172,,,,
BDP,below dam pool,6/9/17,0,1.037,12.46,,,,
BDP,below dam pool,6/13/17,0,1.348,16.19,,,,
BDP,below dam pool,6/20/17,0,0.998,11.99,,,,
BDP,below dam pool,7/3/17,0,1.239,14.88,,,,
BDP,below dam pool,7/7/17,0,0.841,10.1,,,,
BDP,below dam pool,8/25/17,0,0.541,6.495,,,,
BDP,below dam pool,9/5/17,0,1.923,23.1,,,,
BDP,below dam pool,9/29/17,0,1.616,19.41,,,,
BDP,below dam pool,10/6/17,0,0.979,11.76,,,,
BDP,below dam pool,10/20/17,0,2.157,25.91,,,,
BDP,below dam pool,11/3/17,0,1.137,13.66,,,,
P1,below dam pool,4/1/17,100,1.839,22.09,,1.521368421,,
P1,below dam pool,4/5/17,100,1.592,19.12,,0.999817162,,
P1,below dam pool,4/13/17,100,1.383,16.61,,0.229373788,,
P1,below dam pool,4/19/17,100,1.877,22.54,,,,
P1,below dam pool,4/26/17,100,1.225,14.71,,,,
P1,below dam pool,5/19/17,100,0.381,4.577,,,,
P1,below dam pool,5/26/17,100,2.181,26.19,,,,
P1,below dam pool,6/1/17,100,0.466,5.602,,,,
P1,below dam pool,6/9/17,100,2.189,26.29,,,,
P1,below dam pool,6/13/17,100,0.826,9.921,,,,
P1,below dam pool,6/20/17,100,1.908,22.92,,,,
P1,below dam pool,7/3/17,100,2.326,27.94,,,,
P1,below dam pool,7/7/17,100,0.352,4.232,,,,
P1,below dam pool,8/25/17,100,0.877,10.53,,,,
P1,below dam pool,9/5/17,100,4.233,50.84,,,,
P1,below dam pool,9/29/17,100,1.171,14.06,,,,
P1,below dam pool,10/6/17,100,0.512,6.15,,,,
P1,below dam pool,10/20/17,100,2.938,35.29,,,,
P1,below dam pool,11/3/17,100,0.63,7.57,,,,
P2,below dam pool,4/1/17,60,1.853,22.26,,1.638736842,,
P2,below dam pool,4/5/17,60,1.9,22.82,,0.658546281,,
P2,below dam pool,4/13/17,60,2.09,25.1,,0.151080878,,
P2,below dam pool,4/19/17,60,1.47,17.66,,,,
P2,below dam pool,4/26/17,60,0.823,9.887,,,,
P2,below dam pool,5/19/17,60,1.012,12.15,,,,
P2,below dam pool,5/26/17,60,1.294,15.54,,,,
P2,below dam pool,6/1/17,60,1.032,12.4,,,,
P2,below dam pool,6/9/17,60,2.484,29.83,,,,
P2,below dam pool,6/13/17,60,1.479,17.77,,,,
P2,below dam pool,6/20/17,60,1.188,14.27,,,,
P2,below dam pool,7/3/17,60,1.631,19.59,,,,
P2,below dam pool,7/7/17,60,0.412,4.952,,,,
P2,below dam pool,8/25/17,60,3.033,36.43,,,,
P2,below dam pool,9/5/17,60,2.803,33.67,,,,
P2,below dam pool,9/29/17,60,1.377,16.54,,,,
P2,below dam pool,10/6/17,60,1.585,19.04,,,,
P2,below dam pool,10/20/17,60,1.738,20.88,,,,
P2,below dam pool,11/3/17,60,1.932,23.21,,,,
P3,below dam pool,4/1/17,30,1.249,15,,1.360352941,,
P3,below dam pool,4/5/17,30,1.616,19.41,,0.483327262,,
P3,below dam pool,4/19/17,30,1.39,16.69,,0.11722408,,
P3,below dam pool,5/19/17,30,0.849,10.201,,,,
P3,below dam pool,5/26/17,30,0.748,8.979,,,,
P3,below dam pool,6/1/17,30,0.992,11.91,,,,
P3,below dam pool,6/9/17,30,1.395,16.76,,,,
P3,below dam pool,6/13/17,30,1.176,14.12,,,,
P3,below dam pool,6/20/17,30,1.158,13.91,,,,
P3,below dam pool,7/3/17,30,1.262,15.16,,,,
P3,below dam pool,7/7/17,30,1.039,12.48,,,,
P3,below dam pool,8/25/17,30,2.217,26.63,,,,
P3,below dam pool,9/5/17,30,1.904,22.87,,,,
P3,below dam pool,9/29/17,30,0.702,8.43,,,,
P3,below dam pool,10/6/17,30,1.236,14.84,,,,
P3,below dam pool,10/20/17,30,1.836,22.05,,,,
P3,below dam pool,11/3/17,30,2.357,28.31,,,,
P4,below dam pool,4/5/17,15,1.45,17.42,,1.3008125,,
P4,below dam pool,4/13/17,15,1.687,20.26,,0.275815933,,
P4,below dam pool,4/19/17,15,1.44,17.29,,0.068953983,,
P4,below dam pool,4/26/17,15,1.064,12.78,,,,
P4,below dam pool,5/19/17,15,0.927,11.14,,,,
P4,below dam pool,5/26/17,15,1.243,14.93,,,,
P4,below dam pool,6/1/17,15,1.25,15.01,,,,
P4,below dam pool,6/9/17,15,1.172,14.08,,,,
P4,below dam pool,6/13/17,15,1.258,15.11,,,,
P4,below dam pool,6/20/17,15,1.037,12.46,,,,
P4,below dam pool,7/3/17,15,1.295,15.55,,,,
P4,below dam pool,7/7/17,15,0.957,11.5,,,,
P4,below dam pool,8/25/17,15,2.016,24.22,,,,
P4,below dam pool,9/5/17,15,1.335,16.03,,,,
P4,below dam pool,10/20/17,15,1.456,17.49,,,,
P4,below dam pool,11/3/17,15,1.226,14.73,,,,
P10,stream bank,4/5/17,60,1.353,16.25,,1.23225,,
P10,stream bank,4/19/17,60,1.057,12.7,,0.171286519,,
P10,stream bank,5/26/17,60,1.101,13.22,,0.060558929,,
P10,stream bank,6/1/17,60,1.487,17.86,,,,
P10,stream bank,6/9/17,60,1.41,16.94,,,,
P10,stream bank,6/13/17,60,1.238,14.87,,,,
P10,stream bank,6/20/17,60,1.021,12.26,,,,
P10,stream bank,7/7/17,60,1.191,14.3,,,,
