Sample ID,Site,Collection Date,Depth (cm),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L)
P10 ,stream bank,4/5/17,60,0.5,96.96,243.6,7.394,36.04,19.27,10.57
P10 ,stream bank,4/13/17,60,0.5,96.96,243.6,10.47,46.46,26.4,8.96
P10,stream bank,4/19/17,60,0.5,96.13,286.5,10.58,49.22,23.17,8.54
P10,stream bank,4/26/17,60,0.5,85.66,243.9,10.36,44.71,19.49,7.868
P10,stream bank,5/19/17,60,0.5,87.54,141.1,10.72,43.67,18.35,7.65
P10,stream bank,5/26/17,60,0.5,80.97,302.1,13.42,45.67,18.87,7.733
P10,stream bank,6/1/17,60,0.5,85.86,320.3,14.1,47.27,19.53,8.171
P10,stream bank,6/9/17,60,0.5,86.24,310.1,14.38,48.24,19.69,8.412
P10,stream bank,6/13/17,60,0.5,82.54,304.8,16.83,45.3,18.43,10.14
P10,stream bank,6/20/17,60,0.5,80.53,293,16.96,44.76,17.72,9.827
P10,stream bank,7/3/17,60,0.5,85.15,320.6,17.06,45.27,18.36,9.332
P10,stream bank,7/7/17,60,0.5,73.72,282.6,17.52,41.39,16.01,8.89
P10,stream bank,7/13/17,60,0.5,79.81,301.4,17.3,44.55,17.32,9.317
P10,stream bank,8/25/17,60,0.5,82.21,245.2,13.93,46.56,19.05,7.426
P10,stream bank,9/5/17,60,0.5,97.19,367.3,25.85,47.52,18.57,14.49
P10,stream bank,9/29/17,60,0.5,92.91,300.3,14.7,50.34,21.5,8.063
P10,stream bank,10/6/17,60,0.5,110.2,411.7,13.37,57.55,19.93,7.646
P10,stream bank,10/20/17,60,0.5,105.1,397.9,14.49,54.72,22.53,8.866
P10,stream bank,11/3/17,60,0.5,107.2,391.2,12.34,56.95,23.04,8.009
P11,stream bank,7/3/17,30,0.5,86.2,298.7,20.27,47.4,21.69,9.542
P11,stream bank,5/19/17,30,0.5,113,251.1,13.78,46.88,25.77,7.929
P11,stream bank,6/1/17,30,0.5,98.61,365.4,17.68,47.32,26.87,8.628
P11,stream bank,6/9/17,30,0.5,97.65,360.7,18.59,50.73,25.35,8.659
P11,stream bank,7/13/17,30,0.5,78.61,280.7,21.52,45.39,19.18,9.692
P11,stream bank,9/5/17,30,0.5,46.98,74,24.28,25.77,12.63,12.03
P11,stream bank,10/20/17,30,0.5,60.12,70.55,15.82,32.39,16.4,7.285
P11 ,stream bank,4/5/17,30,0.5,146.7,47.19,11.45,51.38,29.02,19.25
P12,stream bank,7/13/17,15,0.5,38.3,17.46,5.661,21.11,13.27,6.986
P12,stream bank,7/7/17,15,0.5,47.56,51.65,9.343,25.09,15.18,7.914
P12,stream bank,10/6/17,15,0.5,68.93,67.16,8.876,31.48,16.65,6.274
P9,stream bank,7/3/17,100,0.5,216.2,114.1,8.329,85.46,29.6,10.96
P9,stream bank,6/13/17,100,0.5,181.3,12.82,8.587,75.32,30.33,11.83
P9,stream bank,6/20/17,100,0.5,204.4,113.1,8.504,85.53,27.69,11.75
P9,stream bank,4/13/17,100,0.5,174.4,64.28,8.925,74.6,44.87,11.25
P9,stream bank,4/19/17,100,0.5,159.3,39.93,8.499,65.7,41.18,10.94
P9,stream bank,5/19/17,100,0.5,171.3,78.39,6.05,71.41,28.51,8.204
P9,stream bank,5/26/17,100,0.5,153.1,10.34,6.922,62.52,31.8,8.672
P9,stream bank,6/1/17,100,0.5,191.4,101.7,6.552,76.26,28.33,9.279
P9,stream bank,6/9/17,100,0.5,207.8,101.3,7.037,84.48,29.4,9.382
P9,stream bank,7/13/17,100,0.5,189.7,60.31,8.431,80.37,25.75,11.17
P9,stream bank,7/7/17,100,0.5,197.1,97.92,7.622,82.02,23.12,9.981
P9,stream bank,8/25/17,100,0.5,223.2,105.6,6.319,90.19,29.23,8.941
P9,stream bank,10/6/17,100,0.5,252.2,35.84,7.169,101.9,29.19,9.832
P9,stream bank,9/29/17,100,0.5,217.6,72.17,6.393,91.36,25.87,8.733
P9,stream bank,10/20/17,100,0.5,244.5,127.4,7.338,97.12,28.84,9.938
P9,stream bank,11/3/17,100,0.5,240,9.519,3.911,98.73,20.92,4.125
P9 ,stream bank,4/5/17,100,0.5,185,68.09,7.812,76.42,37.45,13.87
BDP,below dam pool,10/20/17,0,0.5,260.2,99.29,7.598,128.6,34.21,9.665
BDP,below dam pool,11/3/17,0,0.5,127.2,36.14,6.837,66.28,16.58,7.016
BDP,below dam pool,4/1/17,0,0.5,48.44,4.152,3.88,21.53,3.003,6.41
BDP,below dam pool,7/3/17,0,0.5,153.1,47.83,6.995,72.28,19.6,9.073
BDP,below dam pool,6/13/17,0,0.5,181,59.56,7.486,89.19,22.91,10.76
BDP,below dam pool,6/20/17,0,0.5,184.9,62.18,7.42,90.8,23.57,10.54
BDP,below dam pool,7/13/17,0,0.5,73.21,15.96,5.028,36.93,8.324,6.483
BDP,below dam pool,7/7/17,0,1.359,169,51.81,7.593,82.84,22.99,9.915
BDP,below dam pool,8/25/17,0,1.718,196.1,58.33,5.803,94.95,23.93,7.702
BDP,below dam pool,9/5/17,0,1.278,183.2,46.92,10.84,86.62,20.9,14.17
BDP,below dam pool,10/6/17,0,0.5,259.1,89.35,7.23,125.9,29.75,8.44
BDP,below dam pool,9/29/17,0,3.238,234.9,70.54,7.815,116.9,29.39,8.508
BDP ,below dam pool,4/5/17,0,0.5,48.64,5.033,3.915,21.56,3.22,10.53
BDP ,below dam pool,4/13/17,0,0.5,71.95,16.48,4.589,39.88,7.996,7.71
BDP ,below dam pool,4/19/17,0,1.187,129.1,42.49,6.387,61.52,18.63,10.44
BDP ,below dam pool,3/27/17,0,0.5,176.9,56.71,5.483,85.35,20.15,8.169
BDP ,below dam pool,4/26/17,0,0.5,144.2,42.99,5.776,70.19,16.43,8.57
BDP ,below dam pool,4/26/17,0,0.5,144.2,42.99,5.776,70.19,16.43,8.57
BDP ,below dam pool,5/19/17,0,0.5,48.52,8.336,4.013,23.76,4.42,6.86
BDP ,below dam pool,5/26/17,0,0.5,44.36,25.97,4.634,46.27,10.78,7.703
BDP ,below dam pool,6/1/17,0,0.5,144.9,44.78,5.345,66.54,18,8.143
BDP ,below dam pool,6/9/17,0,0.5,141,41.75,5.283,66.36,16.8,7.888
P1,below dam pool,7/3/17,100,0.5,276.5,106.8,8.257,128.2,37.33,12.1
P1,below dam pool,6/13/17,100,0.5,270.1,63.01,11.23,129.6,34.81,12.55
P1,below dam pool,6/20/17,100,0.5,276,110.6,8.162,133.6,33.96,12.47
P1,below dam pool,4/19/17,100,0.5,265.3,89.3,11.7,130.6,39.84,12.07
P1,below dam pool,4/26/17,100,0.5,276.9,91.29,9.742,130.1,38.01,14.66
P1,below dam pool,5/19/17,100,0.5,273,6.76,26.35,127.1,32.24,10.36
P1,below dam pool,5/26/17,100,0.5,259.9,98.51,6.819,124.2,34.39,9.946
P1,below dam pool,6/1/17,100,0.5,278.3,10.55,21.15,127.5,36.08,11.19
P1,below dam pool,6/9/17,100,0.5,280.5,77.64,9.832,131.3,36.96,10.49
P1,below dam pool,7/13/17,100,0.5,252.5,101.6,7.623,125.6,31.57,11.25
P1,below dam pool,7/7/17,100,0.5,239.3,7.15,12.28,116.4,33.24,13.56
P1,below dam pool,8/25/17,100,0.5,279.3,67.42,6.46,130.4,34.91,9.522
P1,below dam pool,9/5/17,100,0.5,283.4,114.3,11.5,134.1,34.62,17.44
P1,below dam pool,10/6/17,100,0.5,310.2,110.7,6.319,150.6,36.18,9.138
P1,below dam pool,9/29/17,100,0.5,272.5,81.93,7.273,136.9,40.59,10.74
P1,below dam pool,10/20/17,100,0.5,288.4,110.2,6.798,138.7,38.89,10.3
P1,below dam pool,11/3/17,100,0.5,294.4,17.47,7.794,145.4,41.48,10.55
P1 ,below dam pool,4/1/17,100,0.5,298.8,81.93,7.64,135.1,33.98,14.57
P1 ,below dam pool,4/5/17,100,0.5,302.8,62.87,13.11,141.9,35.57,13.01
P1 ,below dam pool,4/13/17,100,0.5,278.7,81.5,14.35,135.1,41.17,12.42
P2,below dam pool,7/3/17,60,0.5,268.9,83.89,8.05,129,37.09,12.16
P2,below dam pool,6/13/17,60,0.5,270.6,85.62,8.16,128.5,34.56,12.6
P2,below dam pool,6/20/17,60,0.5,268.6,91.22,8.095,131.3,33.62,12.39
P2,below dam pool,4/26/17,60,0.5,274,15.85,20.66,129,37.81,14.98
P2,below dam pool,5/19/17,60,0.5,261.2,46.38,7.61,123.6,32.06,9.862
P2,below dam pool,5/26/17,60,0.5,254.2,74.26,6.772,123.8,34.57,10.04
P2,below dam pool,6/1/17,60,0.5,274.6,8.952,7.534,127.4,35.95,10.98
P2,below dam pool,6/9/17,60,0.5,284.3,94.66,6.875,135.5,36.53,10.33
P2,below dam pool,7/13/17,60,0.5,251.9,93.16,7.673,125,32.04,11.42
P2,below dam pool,7/7/17,60,0.5,239.2,7.656,8.857,117,32.32,12.57
P2,below dam pool,8/25/17,60,0.5,273.9,67.94,5.946,129,34.99,9.126
P2,below dam pool,9/5/17,60,0.5,281.9,89.45,10.63,135,33.81,16.96
P2,below dam pool,9/29/17,60,0.5,270.8,49.52,6.729,134.1,38.75,10.39
P2,below dam pool,10/20/17,60,0.5,287.7,39.11,6.833,139.1,37.24,10.11
P2,below dam pool,11/3/17,60,0.5,298.4,22.76,7.041,146.1,44.55,9.596
P2 ,below dam pool,4/5/17,60,0.5,305.2,70.71,8.832,142,35.43,15.49
P2 ,below dam pool,4/1/17,60,0.5,359.8,112.1,7.26,167.2,35.57,14.36
P2 ,below dam pool,4/13/17,60,0.5,283.5,39.53,9.621,138.3,39.22,12.5
P2 ,below dam pool,4/19/17,60,0.5,260.8,67.11,8.59,128.5,38.38,11.92
P2 ,below dam pool,10/6/17,60,0.5,309.7,20.28,6.454,150.1,35.52,9.274
P3,below dam pool,6/13/17,30,0.5,254.3,90.29,8.133,121.6,33.47,12.43
P3,below dam pool,6/20/17,30,0.5,260.6,87.44,8.249,126.4,33.08,12.37
P3,below dam pool,4/1/17,30,0.5,317.4,29.78,7.443,138.8,34.21,13.49
P3,below dam pool,4/5/17,30,0.5,311.2,66.55,7.834,144.6,36.14,13.15
P3,below dam pool,4/13/17,30,0.5,287.5,67.66,9.085,141.7,37.24,12.59
P3,below dam pool,4/19/17,30,0.5,267.8,48.12,8.465,130.7,36.75,11.95
P3,below dam pool,7/3/17,30,0.5,269.5,60.46,7.989,127,35.5,11.71
P3,below dam pool,4/26/17,30,0.5,264.2,51.26,7.502,126.2,36.97,14.78
P3,below dam pool,5/19/17,30,0.5,270.4,12.61,6.529,129.8,33.21,9.848
P3,below dam pool,5/26/17,30,0.5,248,80.58,6.807,120.6,33.67,9.844
P3,below dam pool,6/1/17,30,0.5,260.6,88.56,6.719,119.7,34.2,10.09
P3,below dam pool,6/9/17,30,0.5,266.9,66.32,6.964,125.9,35.29,10.35
P3,below dam pool,7/13/17,30,0.5,244.8,87.36,7.552,121.9,31.29,11.07
P3,below dam pool,7/7/17,30,0.5,236,81.17,7.832,116.2,30.66,11.31
P3,below dam pool,8/25/17,30,0.5,273.1,70.64,5.976,128.5,35.85,9.322
P3,below dam pool,9/5/17,30,0.5,284.6,66.45,11.1,133.7,35.61,18.14
P3,below dam pool,10/6/17,30,0.5,315.2,56.83,6.334,152.7,39.82,10.15
P3,below dam pool,9/29/17,30,0.5,266,32.93,6.462,132.7,37.2,9.468
P3,below dam pool,10/20/17,30,0.5,303.2,75.94,6.644,148,36.15,9.584
P3,below dam pool,11/3/17,30,0.5,293.5,43.56,6.853,145.5,47.24,9.1
P4,below dam pool,7/3/17,15,0.5,277.9,17.44,7.644,130.5,35.14,11.48
P4,below dam pool,6/13/17,15,0.5,267.2,92.21,8.234,129,34.38,12.64
P4,below dam pool,6/20/17,15,0.5,273.5,87.65,8.311,132.6,33.93,12.59
P4,below dam pool,4/5/17,15,0.5,319.6,23.88,8.177,145.9,37.39,13.48
P4,below dam pool,4/13/17,15,0.5,286.9,24.77,9.06,140.7,41.54,12.43
P4,below dam pool,4/19/17,15,0.5,267.3,47.21,7.71,131,38.35,11.93
P4,below dam pool,4/26/17,15,0.5,271.4,44.32,7.355,127.5,37.63,14.62
P4,below dam pool,5/19/17,15,0.5,287,10.39,6.618,137.6,34.33,9.956
P4,below dam pool,5/26/17,15,0.5,255,58.05,6.688,121.2,34.31,9.845
P4,below dam pool,6/1/17,15,0.5,273.1,79.53,6.725,127,35.49,10.14
P4,below dam pool,6/9/17,15,0.5,290.6,52.86,6.988,136.5,36.23,10.5
P4,below dam pool,7/13/17,15,0.5,248.7,70.59,7.623,123.6,31.52,11.33
P4,below dam pool,7/7/17,15,0.5,246.1,88.86,7.434,120.4,32.86,11.86
P4,below dam pool,8/25/17,15,0.5,277.2,14.33,6.061,130.6,36.08,9.449
P4,below dam pool,9/5/17,15,0.5,279,69.02,10.6,131.1,30.71,16.02
P4,below dam pool,10/6/17,15,0.5,315.2,39.94,6.422,151.8,37.15,9.178
P4,below dam pool,9/29/17,15,0.5,274,42.19,5.825,139,37.48,9.719
P4,below dam pool,10/20/17,15,0.5,291.7,30.89,6.578,142.6,36.63,9.709
P4,below dam pool,11/3/17,15,0.5,300.3,3.649,6.622,148.3,49.81,9.05
DP,dam pool,10/20/17,0,0.5,96.61,19.45,6.223,49.83,15.44,7.008
DP,dam pool,11/3/17,0,0.5,63.65,2.968,6.537,33.99,7.415,5.544
