sample,Date and time,discharge (m3/s),Al (mg/L),Ca (mg/L),Fe (mg/L),K (mg/L),Mg (mg/L),Mn (mg/L),Na (mg/L),SO42- (mg/L),pH,EC
OUT 1,7/7/17 11:59,0.006407,2.36,235.3,2.871,9.375,97.32,19.19,11.3,921.2365,3.34,1572
OUT 2,7/7/17 12:59,0.006505,1.826,239,2.83,9.773,97.16,18.32,11.04,968.6562,3.41,1624
OUT 3,7/7/17 13:59,0.013779,1.566,213.9,1.775,9.136,86.17,16.17,10.09,794.0799,3.61,1110
OUT 4,7/7/17 14:59,0.009362,1.095,145.4,1.345,7.926,58.28,11.42,7.455,590.2970,3.72,1156
OUT 5,7/7/17 15:59,0.011135,0.5,171.5,2.498,8.666,67.75,11.53,8.287,679.0067,4.05,1228
OUT 6,7/7/17 16:59,0.008376,0.5,191.3,2.297,8.824,74.93,10.94,8.738,710.7048,4.77,1272
OUT 7,7/7/17 17:59,0.006736,0.5,214.9,2.856,9.426,82.45,11.06,9.337,775.6377,5.34,1366
OUT 8,7/7/17 18:59,0.006312,0.5,229.7,2.568,9.252,88.6,11.5,9.728,796.6398,5.18,1408
OUT 9,7/7/17 19:59,0.005056,0.5,232.2,1.168,9.383,90.36,12.22,9.826,814.9830,4.78,1430
OUT 10,7/7/17 20:59,0.005277,0.5,233.2,3.709,9.434,90.93,13.05,9.967,822.7819,4.36,1441
OUT 11,7/7/17 21:59,0.003902,0.5,228.1,3.635,9.388,90.87,13.73,10,806.9613,4.13,1448
OUT 12,7/7/17 22:59,0.003603,1.638,224.2,8.234,9.499,91.33,14.27,10.34,826.1962,3.98,1458
OUT 1,7/13/17 11:53,0.009091,1.658,196.5,1.947,8.451,78.97,13.33,9.569,676.5503,3.86,1143
OUT 2,7/13/17 12:53,0.008076,1.012,158.1,3.161,8.366,62.16,11.11,8.71,627.4337,3.95,1104
OUT 3,7/13/17 13:53,0.007852,0.5,156.3,3.382,8.33,61.97,10.9,8.79,643.5015,4.01,1114
OUT 4,7/13/17 14:53,0.007752,0.5,160.4,3.463,8.342,62.9,11.09,9.079,655.4828,3.69,1151
OUT 5,7/13/17 15:53,0.007277,1.04,162.5,3.624,8.554,64.04,11.55,9.289,655.8687,3.78,1156
OUT 6,7/13/17 16:53,0.00642,1.148,161.5,3.029,8.249,63.05,11.65,8.98,645.8374,3.67,1157
OUT 7,7/13/17 17:53,0.005515,1.167,159.7,3.525,8.022,63.25,11.85,8.877,684.9042,3.63,1166
OUT 8,7/13/17 18:53,0.0058,1.306,164.9,3.823,8.128,65.29,12.43,9.045,652.1320,3.59,1175
OUT 9,7/13/17 19:53,0.006092,1.273,164.8,4.18,7.97,64.6,12.53,9,704.5309,3.52,1185
OUT 10,7/13/17 20:53,0.005463,1.324,160.8,4.179,8.068,64.6,12.86,9.098,687.3864,3.46,1193
OUT 11,7/13/17 21:53,0.004878,1.351,159.1,4.756,7.943,62.94,13.13,9.088,625.4232,3.36,1199
OUT 12,7/13/17 22:53,0.004812,1.41,157.9,5.012,8.035,63.72,13.49,9.131,669.9998,3.36,1211
OUT 1,10/8/17 18:00,0.005837,2.983,225.9,7.391,8.182,98.35,26.96,8.291,1043.5819,2.92,1899
OUT 2,10/8/17 19:30,0.005444,2.953,227.7,9.694,7.654,102,28.18,8.722,1034.8585,2.87,1914
OUT 3,10/8/17 21:00,0.005337,2.911,223.7,8.659,7.661,98.33,27.17,8.615,1018.8543,2.88,1851
OUT 4,10/8/17 22:30,0.005472,2.739,206.4,7.985,7.749,92.75,26.32,8.665,863.0456,2.98,1666
OUT 5,10/9/17 0:00,0.009816,2.341,171.4,4.163,8.382,74.28,21.46,7.768,577.6868,3.22,1181
OUT 6,10/9/17 1:30,0.008178,1.849,125.6,1.768,7.872,54.72,15.42,5.638,623.8979,3.2,1231
OUT 7,10/9/17 3:00,0.009175,2.097,144.6,3.737,8.858,62.53,16.83,6.253,715.7849,3.23,1344
OUT 8,10/9/17 4:30,0.011134,1.817,163.4,2.488,8.931,70.95,16.11,6.774,715.2925,3.37,1331
OUT 9,10/9/17 6:00,0.010932,1.632,178,1.706,8.861,75.54,14.93,6.698,823.7494,3.42,1460
OUT 10,10/9/17 7:30,0.010558,1.606,207.4,1.691,8.859,85.36,15.65,7.395,879.2230,3.4,1536
OUT 11,10/9/17 9:00,0.010018,1.695,212.4,2.173,8.582,90.3,16.39,7.528,876.8849,3.34,1559
OUT 12,10/9/17 10:30,0.009222,1.884,213.5,2.743,8.549,90.45,16.96,7.469,902.6790,3.29,1576
OUT 1,10/11/17 3:02,0.002598,2.192,210,4.655,7.137,89.54,19.74,7.63,949.3677,2.95,1701
OUT 2,10/11/17 4:02,0.002192,2.619,204.3,8.249,7.049,90.51,24.44,8.028,950.2590,2.89,1719
OUT 3,10/11/17 5:02,0.001785,2.628,204.5,8.527,6.893,90.71,25.04,8.154,1291.5430,2.91,1741
OUT 4,10/11/17 6:02,0.001785,2.538,200.2,9.651,6.776,89.22,24.35,8.08,895.9803,2.96,1611
OUT 5,10/11/17 7:02,0.001785,2.426,189.2,9.465,6.84,84.3,22.74,7.77,907.3518,2.96,1678
OUT 6,10/11/17 8:02,0.001785,2.528,194.9,8.612,7.036,87.93,23.88,7.808,908.6478,2.95,1649
OUT 7,10/11/17 9:02,0.001785,2.504,195.7,9.034,7.084,87.22,22.81,7.837,920.6755,2.96,1669
