sample_name,Site,Depth_cm,Date,pH,EC
BDP,BDP,0,3/27/17,5.38,1760
P1,BDP,100,4/1/17,5.8,2035
P2,BDP,60,4/1/17,5.74,1995
P3,BDP,30,4/1/17,5.4,1941
P4,BDP,15,4/1/17,NA,NA
BDP,BDP,0,4/1/17,4.66,447
P1,BDP,100,4/5/17,5.21,1967
P2,BDP,60,4/5/17,5.36,1978
P3,BDP,30,4/5/17,5.13,1968
P4,BDP,15,4/5/17,4.84,1967
BDP,BDP,0,4/5/17,5.22,450
P1,BDP,100,4/13/17,6.03,1514.06
P2,BDP,60,4/13/17,3.29,1542.19
P3,BDP,30,4/13/17,4.37,1498.44
P4,BDP,15,4/13/17,3.08,1520.31
BDP,BDP,0,4/13/17,5.08,550
P1,BDP,100,4/19/17,5.66,1445.31
P2,BDP,60,4/19/17,4.59,1489.06
P3,BDP,30,4/19/17,3.43,1453.13
P4,BDP,15,4/19/17,3.27,1456.25
BDP,BDP,0,4/19/17,5.07,781.25
P1,BDP,100,4/26/17,5.91,1838
P2,BDP,60,4/26/17,3.48,1494
P3,BDP,30,4/26/17,3.63,760
P4,BDP,15,4/26/17,3.3,810
BDP,BDP,0,4/26/17,4.89,566
P1,BDP,100,5/19/17,3.06,1800
P2,BDP,60,5/19/17,3.31,830
P3,BDP,30,5/19/17,3.02,1568
P4,BDP,15,5/19/17,2.9,1876
BDP,BDP,0,5/19/17,5.7,375
P1,BDP,100,5/26/17,5.81,1910
P2,BDP,60,5/26/17,5.5,1794
P3,BDP,30,5/26/17,5.65,1800
P4,BDP,15,5/26/17,3.75,1936
BDP,BDP,0,5/26/17,6.26,830
P1,BDP,100,6/1/17,3.08,703
P2,BDP,60,6/1/17,3.03,1158
P3,BDP,30,6/1/17,5.64,1348
P4,BDP,15,6/1/17,4.99,462
BDP,BDP,0,6/1/17,5.67,758
P1,BDP,100,6/9/17,3.77,592
P2,BDP,60,6/9/17,5.66,1448
P3,BDP,30,6/9/17,5.08,1428
P4,BDP,15,6/9/17,3.59,702
BDP,BDP,0,6/9/17,5.76,922
P1,BDP,100,6/13/17,3.51,1486
P2,BDP,60,6/13/17,6.54,1774
P3,BDP,30,6/13/17,5.81,1616
P4,BDP,15,6/13/17,5.58,1812
BDP,BDP,0,6/13/17,6.4,1362
P1,BDP,100,6/20/17,5.79,1808
P2,BDP,60,6/20/17,5.53,1510
P3,BDP,30,6/20/17,5.62,1058
P4,BDP,15,6/20/17,5.58,1868
BDP,BDP,0,6/20/17,5.62,1252
P1,BDP,100,7/3/17,5.99,1390
P2,BDP,60,7/3/17,5.23,1268
P3,BDP,30,7/3/17,4.15,1644
P4,BDP,15,7/3/17,3.08,1510
BDP,BDP,0,7/3/17,5.74,506
P1,BDP,100,7/7/17,3.07,1912
P2,BDP,60,7/7/17,3.09,1888
P3,BDP,30,7/7/17,5.54,1808
P4,BDP,15,7/7/17,5.39,70
BDP,BDP,0,7/7/17,5.67,1304
P1,BDP,100,7/13/17,5.62,1931
P2,BDP,60,7/13/17,5.62,1920
P3,BDP,30,7/13/17,5.45,1899
P4,BDP,15,7/13/17,5.5,1879
BDP,BDP,0,7/13/17,5.73,737
P1,BDP,100,8/25/17,3.83,1948
P2,BDP,60,8/25/17,3.81,1864
P3,BDP,30,8/25/17,5.27,1866
P4,BDP,15,8/25/17,3.03,560
BDP,BDP,0,8/25/17,5.42,1142
P1,BDP,100,9/5/17,5.69,718
P2,BDP,60,9/5/17,5.41,1380
P3,BDP,30,9/5/17,3.91,1510
P4,BDP,15,9/5/17,3.78,940
BDP,BDP,0,9/5/17,5.36,1040
P1,BDP,100,9/29/17,5.61,1836
P2,BDP,60,9/29/17,5.39,1822
P3,BDP,30,9/29/17,3.24,1920
P4,BDP,15,9/29/17,3.1,2166
BDP,BDP,0,9/29/17,5.01,1710
P1,BDP,100,10/6/17,5.5,1804
P2,BDP,60,10/6/17,2.94,1840
P3,BDP,30,10/6/17,3.16,1944
P4,BDP,15,10/6/17,3.05,1978
BDP,BDP,0,10/6/17,5.42,1642
P1,BDP,100,10/20/17,5.76,1942
P2,BDP,60,10/20/17,3.11,1854
P3,BDP,30,10/20/17,3.88,1926
P4,BDP,15,10/20/17,3.16,2001
BDP,BDP,0,10/20/17,5.65,1744
P1,BDP,100,11/3/17,2.82,2168
P2,BDP,60,11/3/17,2.92,1988
P3,BDP,30,11/3/17,3.15,994
P4,BDP,15,11/3/17,3.21,1922
BDP,BDP,0,11/3/17,5.86,976
P9,SB,100,4/5/17,5.63,1429
P10,SB,60,4/5/17,5.46,1030
P11,SB,30,4/5/17,NA,NA
P12,SB,15,4/5/17,NA,NA
P9,SB,100,4/13/17,5.52,985.94
P10,SB,60,4/13/17,3.94,582.81
P11,SB,30,4/13/17,NA,NA
P12,SB,15,4/13/17,NA,NA
P9,SB,100,4/19/17,3.34,1039.06
P10,SB,60,4/19/17,3.73,546.88
P11,SB,30,4/19/17,5.01,1179.69
P12,SB,15,4/19/17,NA,NA
P9,SB,100,4/26/17,3.24,500
P10,SB,60,4/26/17,3.27,856
P11,SB,30,4/26/17,NA,NA
P12,SB,15,4/26/17,NA,NA
P9,SB,100,5/19/17,5.4,1334
P10,SB,60,5/19/17,2.57,1758
P11,SB,30,5/19/17,NA,1217
P12,SB,15,5/19/17,NA,334
P9,SB,100,5/26/17,3.06,1480
P10,SB,60,5/26/17,3.49,1490
P11,SB,30,5/26/17,4.67,1606
P12,SB,15,5/26/17,6.58,566
P9,SB,100,6/1/17,5.82,1350
P10,SB,60,6/1/17,NA,1222
P11,SB,30,6/1/17,NA,NA
P12,SB,15,6/1/17,NA,354
P9,SB,100,6/9/17,5.97,1438
P10,SB,60,6/9/17,3.51,1366
P11,SB,30,6/9/17,NA,NA
P12,SB,15,6/9/17,NA,NA
P9,SB,100,6/13/17,3.03,1440
P10,SB,60,6/13/17,4.06,1204
P11,SB,30,6/13/17,3.6,1652
P12,SB,15,6/13/17,NA,352
P9,SB,100,6/20/17,6.08,1258
P10,SB,60,6/20/17,4.19,1342
P11,SB,30,6/20/17,3.15,1752
P12,SB,15,6/20/17,NA,473
P9,SB,100,7/3/17,5.91,1376
P10,SB,60,7/3/17,5.35,1390
P11,SB,30,7/3/17,NA,1536
P12,SB,15,7/3/17,6.5,514
P9,SB,100,7/7/17,5.98,1208
P10,SB,60,7/7/17,5.71,1364
P11,SB,30,7/7/17,3.23,1584
P12,SB,15,7/7/17,NA,488
P9,SB,100,7/13/17,6.02,1507
P10,SB,60,7/13/17,4.99,1503
P11,SB,30,7/13/17,5.62,NA
P12,SB,15,7/13/17,NA,NA
P9,SB,100,8/25/17,6,1626
P10,SB,60,8/25/17,5.42,1162
P11,SB,30,8/25/17,5.06,844
P12,SB,15,8/25/17,NA,NA
P9,SB,100,9/5/17,5.72,1132
P10,SB,60,9/5/17,5.76,NA
P11,SB,30,9/5/17,NA,NA
P12,SB,15,9/5/17,NA,NA
P9,SB,100,9/29/17,5.52,1516
P10,SB,60,9/29/17,3.38,NA
P11,SB,30,9/29/17,6.06,NA
P12,SB,15,9/29/17,NA,NA
P9,SB,100,10/6/17,3.26,1660
P10,SB,60,10/6/17,5,1602
P11,SB,30,10/6/17,6.04,NA
P12,SB,15,10/6/17,NA,500
P9,SB,100,10/20/17,5.9,1626
P10,SB,60,10/20/17,5.44,1530
P11,SB,30,10/20/17,NA,NA
P12,SB,15,10/20/17,NA,NA
P9,SB,100,11/3/17,2.92,1732
P10,SB,60,11/3/17,5,1660
P11,SB,30,11/3/17,5.98,804
P12,SB,15,11/3/17,NA,NA
DP,DP,0,3/27/17,5.62,564
P5,DP,100,4/1/17,5.66,1811
P6,DP,60,4/1/17,5.76,1505
P7,DP,30,4/1/17,5.86,1786
P8,DP,15,4/1/17,5.78,1632
DP,DP,0,4/1/17,5.07,772
P5,DP,100,4/5/17,5.93,1960
P6,DP,60,4/5/17,5.86,1741
P7,DP,30,4/5/17,5.8,1774
P8,DP,15,4/5/17,5.82,2010
DP,DP,0,4/5/17,5.29,345
P5,DP,100,4/13/17,5.65,1410.94
P6,DP,60,4/13/17,5.7,1125
P7,DP,30,4/13/17,5.77,1178.13
P8,DP,15,4/13/17,5.74,1429.69
DP,DP,0,4/13/17,5.52,342.19
